value;:LABEL;:ID
393830681722;Phone;1123
393873994565;Phone;1128
393840748512;Phone;1133
393834805812;Phone;1138
393760100245;Phone;1143
393755115208;Phone;1148
393883619549;Phone;1153
393754526549;Phone;1158
393853199117;Phone;1163
393885425210;Phone;1168
393787767779;Phone;1173
393856587852;Phone;1178
393791267264;Phone;1183
393809043582;Phone;1188
393746813859;Phone;1193
393899632534;Phone;1198
393806741749;Phone;1203
393874193033;Phone;1208
393814353262;Phone;1213
393776737554;Phone;1218
393847380936;Phone;1223
393850170089;Phone;1228
393844689996;Phone;1233
393791085612;Phone;1238
393795028792;Phone;1243
393766721520;Phone;1248
393893600360;Phone;1253
393834705286;Phone;1258
393888616143;Phone;1263
393767130885;Phone;1268
393851519438;Phone;1273
393784734138;Phone;1278
393887975903;Phone;1283
393826329135;Phone;1288
393877038052;Phone;1293
393874317636;Phone;1298
393848670354;Phone;1303
393854323428;Phone;1308
393768190488;Phone;1313
393874429972;Phone;1318
393857575262;Phone;1323
393781342975;Phone;1328
393874075033;Phone;1333
393872393226;Phone;1338
393867588478;Phone;1343
393803246506;Phone;1348
393785763426;Phone;1353
393778392535;Phone;1358
393834472482;Phone;1363
393800391085;Phone;1368
393846179585;Phone;1373
393791265554;Phone;1378
393844204505;Phone;1383
393893256591;Phone;1388
393840963653;Phone;1393
393802261740;Phone;1398
393769831521;Phone;1403
393853960175;Phone;1408
393761595741;Phone;1413
393777013791;Phone;1418
393796173897;Phone;1423
393786561504;Phone;1428
393759944062;Phone;1433
393858228710;Phone;1438
393763647469;Phone;1443
393779051597;Phone;1448
393844237224;Phone;1453
393784978727;Phone;1458
393832852044;Phone;1463
393839006528;Phone;1468
