value;:LABEL;:ID
priscilla.barzini@libero.it;Email;1122
gianpietro.iannelli@outlook.com;Email;1127
donato.cesaroni@outlook.com;Email;1132
annetta.cuomo@hotmail.it;Email;1137
marina.bova@libero.it;Email;1142
sonia.bragadin@hotmail.it;Email;1147
giacomo.bacosi@yahoo.com;Email;1152
agnolo.viola@hotmail.it;Email;1157
angelo.dossi@outlook.com;Email;1162
michele.contrafatto@hotmail.it;Email;1167
sandra.ligorio@libero.it;Email;1172
romana.piovani@gmail.com;Email;1177
mirko.saraceno@hotmail.it;Email;1182
emma.brunello@hotmail.com;Email;1187
rosalia.serlupi@libero.it;Email;1192
luciana.treves@gmail.com;Email;1197
costanzo.donà@hotmail.com;Email;1202
elvira.villarosa@yahoo.com;Email;1207
costantino.zaccardo@hotmail.com;Email;1212
etta.alfonsi@libero.it;Email;1217
biagio.abatantuono@outlook.it;Email;1222
nedda.giunti@outlook.it;Email;1227
melania.bocelli@gmail.com;Email;1232
lauretta.salvini@gmail.com;Email;1237
cecilia.gianvecchio@yahoo.com;Email;1242
concetta.roncalli@hotmail.com;Email;1247
griselda.boccherini@hotmail.it;Email;1252
federico.cilea@hotmail.com;Email;1257
enzio.tamburello@outlook.com;Email;1262
salvi.turchetta@outlook.it;Email;1267
ivo.lerner@outlook.com;Email;1272
tina.ferrari@gmail.com;Email;1277
luigi.anguillara@hotmail.com;Email;1282
annibale.salgari@hotmail.com;Email;1287
gian.collodi@libero.it;Email;1292
gianna.mercantini@yahoo.com;Email;1297
puccio.ottino@gmail.com;Email;1302
adelasia.filzi@gmail.com;Email;1307
silvia.saraceno@hotmail.com;Email;1312
ermes.gravina@outlook.it;Email;1317
stefania.gentileschi@gmail.com;Email;1322
fiorenzo.impastato@gmail.com;Email;1327
elena.venier@outlook.com;Email;1332
gilberto.cusano@hotmail.com;Email;1337
carlo.trobbiani@yahoo.com;Email;1342
stefania.pellegrini@outlook.com;Email;1347
milena.guglielmi@yahoo.com;Email;1352
nicoletta.cerutti@hotmail.it;Email;1357
raffaella.emo@outlook.it;Email;1362
marissa.contarini@outlook.com;Email;1367
giuliana.paruta@libero.it;Email;1372
cipriano.montesano@outlook.it;Email;1377
costantino.terragni@outlook.com;Email;1382
gioachino.castelli@outlook.com;Email;1387
pierina.morosini@yahoo.com;Email;1392
luchino.boezio@gmail.com;Email;1397
michele.valmarana@outlook.it;Email;1402
giada.sgarbi@outlook.com;Email;1407
maura.cabibbo@hotmail.com;Email;1412
ottone.vergassola@gmail.com;Email;1417
lorenzo.sorrentino@libero.it;Email;1422
donatella.stein@hotmail.it;Email;1427
alberico.vercelloni@gmail.com;Email;1432
alessandro.malpighi@yahoo.com;Email;1437
berenice.camanni@gmail.com;Email;1442
annunziata.avogadro@hotmail.com;Email;1447
alberto.pedersoli@outlook.it;Email;1452
gilberto.golgi@outlook.com;Email;1457
michelangelo.zola@hotmail.it;Email;1462
piergiorgio.travaglia@gmail.com;Email;1467
cipriano.gilardoni@outlook.it;Email;1472
renzo.scaramucci@hotmail.it;Email;1476
marisa.bellocchio@gmail.com;Email;1480
edoardo.cutrufo@hotmail.it;Email;1484
adele.ossola@yahoo.com;Email;1488
ruggiero.visintini@hotmail.com;Email;1492
gianfrancesco.nadi@outlook.com;Email;1496
raffaello.giannetti@libero.it;Email;1500
galasso.rizzo@outlook.it;Email;1504
gionata.tagliafierro@yahoo.com;Email;1508
