last_name;first_name;IVA;:LABEL;:ID
Fusani;Antonello;IT93241510580;Lawyer;42502
Borghese;Damiano;IT29795660645;Lawyer;42505
Lancisi;Paloma;IT04997260023;Lawyer;42508
Acerbi;Mattia;IT36818030268;Lawyer;42511
Trentini;Fabia;IT91484711212;Lawyer;42514
Tedesco;Alessandra;IT93802190400;Lawyer;42517
Chittolini;Gaspare;IT41826360392;Lawyer;42520
Tosto;Gloria;IT94494830535;Lawyer;42523
Gramsci;Ferdinando;IT10983930057;Lawyer;42526
Finotto;Monica;IT59454290376;Lawyer;42529
Fantoni;Sante;IT01695790400;Lawyer;42532
Pacillo;Ugo;IT66879310713;Lawyer;42535
Tartaglia;Marcantonio;IT41815390384;Lawyer;42538
Dossetti;Enrico;IT86336360622;Lawyer;42541
Pavone;Bartolomeo;IT25274320628;Lawyer;42544
Scialpi;Martina;IT89265850241;Lawyer;42547
Verdone;Delfino;IT51198480165;Lawyer;42550
Calvo;Maurizio;IT05217240679;Lawyer;42553
Pizziol;Camillo;IT65838750100;Lawyer;42556
Bettin;Sante;IT91046700364;Lawyer;42559
Zanazzo;Sandra;IT11406381209;Lawyer;42562
Almagià;Torquato;IT06682170821;Lawyer;42565
Bocelli;Luca;IT52317700699;Lawyer;42568
Comolli;Baccio;IT51071080819;Lawyer;42571
Totino;Paulina;IT56271710792;Lawyer;42574
Cilea;Fedele;IT61793160153;Lawyer;42577
Taccola;Alessandra;IT54763580013;Lawyer;42580
Tosto;Caterina;IT50520150934;Lawyer;42583
Ferrara;Arsenio;IT15751550615;Lawyer;42586
Binaghi;Maura;IT53589520765;Lawyer;42589
Avogadro;Giuliano;IT52005760559;Lawyer;42592
Druso;Federica;IT78629470663;Lawyer;42595
Letta;Tatiana;IT79868930300;Lawyer;42598
Pascarella;Emilio;IT52152810660;Lawyer;42601
Solari;Flora;IT71694550105;Lawyer;42604
Interiano;Roberto;IT27522300972;Lawyer;42607
Boito;Ivo;IT88488810370;Lawyer;42610
Botta;Stefano;IT80776420293;Lawyer;42613
Parisi;Eliana;IT73199950806;Lawyer;42616
