:ID;:LABEL;IVA;first_name;last_name
432;Lawyer;IT27244260405;Gianluigi;Galtarossa
435;Lawyer;IT04968110629;Adamo;Cilibrasi
438;Lawyer;IT24099660201;Pierluigi;Novaro
441;Lawyer;IT44722670104;Marcantonio;Trombetta
444;Lawyer;IT71658900239;Allegra;Panicucci
447;Lawyer;IT52472560888;Luciano;Mazzini
450;Lawyer;IT79430250161;Piermaria;Balbo
453;Lawyer;IT03017760806;Stefano;Flaiano
456;Lawyer;IT80071990677;Luigina;Borromini
459;Lawyer;IT02502220490;Gianfrancesco;Bellò
462;Lawyer;IT14731930021;Alberto;Boitani
465;Lawyer;IT66626280789;Nico;Bellocchio
468;Lawyer;IT12280210886;Agnolo;Toldo
471;Lawyer;IT70842710264;Mattia;Santi
474;Lawyer;IT64076360342;Gilberto;Deledda
477;Lawyer;IT36291730665;Domenico;Cristoforetti
480;Lawyer;IT23507050203;Puccio;Bosurgi
483;Lawyer;IT32032120829;Marta;Comisso
486;Lawyer;IT43899130314;Calogero;Capone
489;Lawyer;IT84917050985;Livio;Morucci
492;Lawyer;IT99959880172;Nico;Muti
495;Lawyer;IT21767890995;Dina;Schicchi
498;Lawyer;IT95812250835;Virginia;Desio
501;Lawyer;IT91038560875;Greca;Sobrero
504;Lawyer;IT84783510237;Raffaele;Benigni
507;Lawyer;IT67734690216;Giancarlo;Tommaseo
510;Lawyer;IT38286150610;Angelo;Chinnici
513;Lawyer;IT33528020275;Virginia;Spinola
516;Lawyer;IT85727550957;Beppe;Garibaldi
519;Lawyer;IT37224850968;Maura;Gulotta
522;Lawyer;IT09135820745;Martina;Serraglio
525;Lawyer;IT72405480863;Fiorino;Cremonesi
528;Lawyer;IT23115880785;Temistocle;Tuzzolino
531;Lawyer;IT06972660309;Marcella;Schiaparelli
534;Lawyer;IT74277460841;Priscilla;Panzera
537;Lawyer;IT59093120117;Ornella;Sraffa
540;Lawyer;IT79890040714;Bartolomeo;Alighieri
543;Lawyer;IT27076020109;Matilda;Doglioni
546;Lawyer;IT96380360345;Nina;Ruggeri
549;Lawyer;IT89315410509;Guarino;Cimini
552;Lawyer;IT31266760102;Susanna;Comencini
555;Lawyer;IT13662420200;Giosuè;Giradello
558;Lawyer;IT89980940632;Lilla;Calbo
561;Lawyer;IT92724000440;Lazzaro;Ajello
564;Lawyer;IT39998390767;Osvaldo;Zecchini
567;Lawyer;IT00387410681;Valeria;Cafarchia
570;Lawyer;IT74382270556;Maria;Dallapé
573;Lawyer;IT10660439992;Simonetta;Sansoni
576;Lawyer;IT98953220617;Nico;Bocca
579;Lawyer;IT09542210696;Caterina;Argan
582;Lawyer;IT03864220235;Ninetta;Gianinazzi
585;Lawyer;IT75234510529;Danilo;Guarneri
588;Lawyer;IT04697410217;Armando;Spinola
591;Lawyer;IT62903400489;Giuseppe;Pugliese
594;Lawyer;IT88560660479;Damiano;Galilei
597;Lawyer;IT69366280738;Pierina;Ferrazzi
600;Lawyer;IT46087450873;Daria;Montalti
603;Lawyer;IT83063990176;Melina;Basso
606;Lawyer;IT70556560442;Alfio;Ligorio
609;Lawyer;IT78939400624;Martino;Majewski
612;Lawyer;IT74268770968;Pasquale;Bellucci
615;Lawyer;IT61888000280;Edoardo;Tamburi
618;Lawyer;IT89019180622;Pompeo;Bocelli
621;Lawyer;IT69956630441;Bianca;Ficino
624;Lawyer;IT52240770074;Bianca;Venturi
627;Lawyer;IT84655670937;Irma;Coppola
630;Lawyer;IT46447790182;Sante;Boito
633;Lawyer;IT89279160066;Beppe;Roncalli
636;Lawyer;IT02997060187;Agostino;Aporti
639;Lawyer;IT84137750455;Melania;Majewski
642;Lawyer;IT49780590193;Paride;Ortese
645;Lawyer;IT67676370215;Giulio;Federico
648;Lawyer;IT15971390305;Domenico;Pugliese
651;Lawyer;IT06648980479;Sandro;Zampa
654;Lawyer;IT43586210692;Raffaello;Pisacane
657;Lawyer;IT05325550217;Adelmo;Dellucci
660;Lawyer;IT63334460746;Ramona;Ravaglioli
663;Lawyer;IT03534280841;Alessandro;Carfagna
666;Lawyer;IT50258640924;Antonia;Pasolini
669;Lawyer;IT35589690334;Armando;Piccinni
672;Lawyer;IT64737300737;Giovanna;Casaleggio
675;Lawyer;IT97897010571;Graziella;Adinolfi
678;Lawyer;IT19293620548;Griselda;Letta
681;Lawyer;IT74791930709;Saverio;Gregorio
684;Lawyer;IT31611120366;Toni;Callegari
687;Lawyer;IT90766630645;Pasqual;Pisani
690;Lawyer;IT37981510318;Girolamo;Desio
693;Lawyer;IT12394670421;Tiziana;Bevilacqua
696;Lawyer;IT65367220442;Rosaria;Ludovisi
699;Lawyer;IT27430980527;Ornella;Barbarigo
702;Lawyer;IT76195300371;Rolando;Lucarelli
705;Lawyer;IT52739840206;Giustino;Fattori
708;Lawyer;IT66815070124;Ninetta;Tozzi
711;Lawyer;IT42041950660;Roberta;Lombardi
714;Lawyer;IT78258310727;Dionigi;Abate
717;Lawyer;IT57594630519;Flavio;Cafarchia
