:ID;:LABEL;country;city;street;zip_code
1;Address;Italy;Pistoia;Viale Vittoria, 43;33048
6;Address;Italy;Rovigo;Contrada Tamburi, 23 Piano 4;08032
11;Address;Italy;Ragusa;Vicolo Gabba, 95 Appartamento 9;00044
16;Address;Italy;Bolzano;Strada Ruggiero, 986;84099
21;Address;Italy;Medio Campidano;Incrocio Amalia, 3;89058
26;Address;Italy;Pescara;Canale Leone, 89 Piano 9;12051
31;Address;Italy;Lecce;Stretto Gozzano, 35 Appartamento 5;83049
36;Address;Italy;Torino;Borgo Casaleggio, 180;19122
41;Address;Italy;Ascoli Piceno;Borgo Mirco, 84;97018
46;Address;Italy;Massa-Carrara;Via Rosaria, 72 Piano 3;37042
51;Address;Italy;Bolzano;Rotonda Fedele, 33 Appartamento 9;46039
56;Address;Italy;Messina;Viale Fanucci, 65;00034
61;Address;Italy;Alessandria;Piazza Draghi, 30;07025
66;Address;Italy;Lucca;Via Ernesto, 70;10043
71;Address;Italy;Potenza;Via Telesio, 66 Piano 8;08047
76;Address;Italy;Catanzaro;Borgo Giuliana, 9;56036
81;Address;Italy;Monza e della Brianza;Strada Pizzetti, 126;41012
86;Address;Italy;Treviso;Vicolo Castioni, 35 Appartamento 9;30015
91;Address;Italy;Treviso;Canale Giorgio, 291;39015
96;Address;Italy;Isernia;Canale Ludovico, 860 Piano 4;08046
101;Address;Italy;Campobasso;Rotonda Ramona, 739 Appartamento 50;45100
106;Address;Italy;Cuneo;Rotonda Guariento, 2 Piano 6;95122
111;Address;Italy;Roma;Stretto Musatti, 43 Appartamento 20;58011
116;Address;Italy;Isernia;Viale Biagi, 692;34011
121;Address;Italy;Frosinone;Piazza Pinamonte, 89;05028
126;Address;Italy;Campobasso;Rotonda Fulvio, 40;60126
131;Address;Italy;Siracusa;Viale Fabrizi, 576 Appartamento 85;36076
136;Address;Italy;Trento;Rotonda Rismondo, 34;81034
141;Address;Italy;Medio Campidano;Vicolo Bossi, 9 Piano 1;16127
146;Address;Italy;Venezia;Borgo Benvenuto, 1 Piano 8;08039
