:LABEL;value;:ID
SSN;LCCRSN36P16B292B;4
SSN;MNTMBT48B41E155P;9
SSN;GDDMRL04M11M106D;14
SSN;BFFDNL53D55A111Q;19
SSN;BMBGSN69R44C246K;24
SSN;PVNCML82L14H833Q;29
SSN;PTRRMN01R04B021X;34
SSN;MRTVLR64T19G520M;39
SSN;GRDTNF12L62I437H;44
SSN;CLIGRN59M06H558F;49
SSN;CCLNTL07B07H364Z;54
SSN;RNRBTN87D20G801O;59
SSN;LRNMRN77D25H118R;64
SSN;RZZNNT72S15E281O;69
SSN;BRCNGC98B07G926M;74
SSN;TRTRCT57D55B498N;79
SSN;MRZTNN08T66G454B;84
SSN;FNTMTT89E61G491W;88
SSN;FSLFST07E50D268X;92
SSN;CMNSTN29A14L682Q;96
SSN;NNLLSN03A12A301N;99
