:LABEL;:ID;last_name;full_name;first_name
Customer;108;Buonauro;Dionigi Buonauro;Dionigi
Customer;113;Barzini;Raffaello Barzini;Raffaello
Customer;118;Agazzi;Giulia Agazzi;Giulia
Customer;123;Soderini;Marcantonio Soderini;Marcantonio
Customer;128;Casarin;Giulietta Casarin;Giulietta
Customer;133;Brancaccio;Donato Brancaccio;Donato
Customer;138;Niscoromni;Fredo Niscoromni;Fredo
Customer;143;Cheda;Ottone Cheda;Ottone
Customer;148;Opizzi;Olga Opizzi;Olga
Customer;153;Pavone;Sandro Pavone;Sandro
Customer;158;Fermi;Ornella Fermi;Ornella
Customer;162;Sommaruga;Marcello Sommaruga;Marcello
Customer;166;Visintini;Lando Visintini;Lando
Customer;168;Fantozzi;Beatrice Fantozzi;Beatrice
Customer;169;Cilea;Uberto Cilea;Uberto
