:LABEL;IVA;:ID;last_name;first_name
Lawyer;IT35039551201;172;Morpurgo;Cirillo
Lawyer;IT22018060081;175;Omma;Pierluigi
Lawyer;IT88246540079;178;Stein;Donato
Lawyer;IT03851070932;181;Ponti;Serena
Lawyer;IT76495080467;184;Ceci;Corrado
Lawyer;IT87698470017;187;Dallara;Silvestro
Lawyer;IT00597450733;190;Sinisi;Antonello
Lawyer;IT17336730654;193;Iadanza;Cipriano
Lawyer;IT63895980314;196;Corbo;Dante
Lawyer;IT29154920861;199;Tutino;Ottone
Lawyer;IT90892750861;202;Milanesi;Ludovico
Lawyer;IT08642990298;205;Caboto;Micheletto
Lawyer;IT18823980869;208;Baracca;Azeglio
Lawyer;IT80669570832;211;Guarana;Martino
