:ID;:LABEL;IVA;first_name;last_name
761627;Lawyer;IT65555920746;Alessandro;Mimun
761630;Lawyer;IT25622480728;Eliana;Maderno
761633;Lawyer;IT94908760831;Eva;Porcellato
761636;Lawyer;IT92172830108;Tiziano;Bramante
761639;Lawyer;IT31311480607;Gilberto;Panatta
761642;Lawyer;IT14513130279;Hugo;Zoppetti
761645;Lawyer;IT85092280388;Telemaco;Tron
761648;Lawyer;IT50682350496;Patrizio;Mattarella
761651;Lawyer;IT16472930219;Pietro;Canali
761654;Lawyer;IT32318980888;Stefania;Foscari
761657;Lawyer;IT21058950706;Daria;Giradello
761660;Lawyer;IT55754570194;Gabriele;Botticelli
761663;Lawyer;IT45774530302;Piersanti;Zacchia
761666;Lawyer;IT67195440614;Donato;Maggioli
761669;Lawyer;IT42306240336;Monica;Marinetti
761672;Lawyer;IT06968820099;Vittorio;Smirnoff
761675;Lawyer;IT04160180214;Giampiero;Gentili
761678;Lawyer;IT37766460382;Gianluigi;Garibaldi
761681;Lawyer;IT91505500289;Antonia;Ferrazzi
761684;Lawyer;IT86515220191;Marcantonio;Cilibrasi
761687;Lawyer;IT46801650832;Federica;Tremonti
761690;Lawyer;IT95924250145;Michelangelo;Calarco
761693;Lawyer;IT28720000448;Virginia;Trebbi
761696;Lawyer;IT86000960103;Alessio;Satta
761699;Lawyer;IT85835390296;Milena;Berrè
761702;Lawyer;IT90573720662;Fedele;Tafuri
761705;Lawyer;IT71007920169;Giuseppe;Cabrini
761708;Lawyer;IT29282610640;Martina;Borromini
761711;Lawyer;IT38972950232;Greco;Cerutti
761714;Lawyer;IT58738450541;Mauro;Camiscione
761717;Lawyer;IT95627650302;Gianna;Tutino
761720;Lawyer;IT96334140926;Germana;Scaramucci
761723;Lawyer;IT27195530228;Temistocle;Guidotti
761726;Lawyer;IT43713590164;Gioffre;Chinnici
761729;Lawyer;IT37522800673;Eugenia;Bondumier
761732;Lawyer;IT80818340806;Ludovico;Tassoni
761735;Lawyer;IT40628910685;Alessandra;Errigo
761738;Lawyer;IT57533430153;Fedele;Bixio
761741;Lawyer;IT29905681002;Angelo;Canova
761744;Lawyer;IT97261050120;Allegra;Rosselli
761747;Lawyer;IT34433541207;Marissa;Cavanna
761750;Lawyer;IT63697690350;Calcedonio;Cundari
761753;Lawyer;IT84546380670;Gustavo;Tartaglia
761756;Lawyer;IT47003410470;Gianfranco;Vespa
761759;Lawyer;IT42848250702;Edoardo;Andreotti
761762;Lawyer;IT74042300991;Fabrizia;Palmisano
761765;Lawyer;IT40521050456;Fabrizio;Toninelli
761768;Lawyer;IT07447040572;Michelotto;Peano
761771;Lawyer;IT69757870543;Dionigi;Lippomano
761774;Lawyer;IT94208000144;Giampaolo;Polizzi
761777;Lawyer;IT63838010484;Claudia;Parri
761780;Lawyer;IT20407270204;Alfio;Fioravanti
761783;Lawyer;IT15871970727;Dolores;Cignaroli
761786;Lawyer;IT31541240623;Gianpaolo;Ottino
761789;Lawyer;IT89667880812;Fedele;Navarria
761792;Lawyer;IT87426800568;Nicolò;Goldoni
