last_name;first_name;IVA;:LABEL;:ID
Ostinelli;Gioachino;IT06569110023;Lawyer;619402
Canetta;Simonetta;IT71590970654;Lawyer;619405
Fabbri;Alessandra;IT18506240581;Lawyer;619408
Salgari;Pierpaolo;IT07043500649;Lawyer;619411
Pozzecco;Costantino;IT40510180710;Lawyer;619414
Trombetta;Marcello;IT84631100439;Lawyer;619417
Roncalli;Ottavio;IT40704930201;Lawyer;619420
Seddio;Luciano;IT12038180621;Lawyer;619423
Jovinelli;Giovanni;IT55413820766;Lawyer;619426
Beccaria;Giulietta;IT33796230598;Lawyer;619429
Pavanello;Liberto;IT45617410050;Lawyer;619432
Gramsci;Puccio;IT53200700390;Lawyer;619435
Amato;Piergiuseppe;IT34231400390;Lawyer;619438
Pisacane;Bettina;IT74607140196;Lawyer;619441
Doria;Vincenzo;IT32890970398;Lawyer;619444
Finotto;Silvia;IT77030300444;Lawyer;619447
Pace;Victoria;IT35085630867;Lawyer;619450
Peruzzi;Marta;IT47251110293;Lawyer;619453
Cainero;Armando;IT96568670457;Lawyer;619456
Soprano;Isa;IT06561340644;Lawyer;619459
Bembo;Enzo;IT54839870943;Lawyer;619462
Morgagni;Antonello;IT97310680307;Lawyer;619465
Bettin;Cecilia;IT00915340533;Lawyer;619468
Einaudi;Lolita;IT46446230974;Lawyer;619471
Capone;Marina;IT37552589998;Lawyer;619474
Parri;Graziano;IT06971990368;Lawyer;619477
Pasolini;Romolo;IT86018450303;Lawyer;619480
Quasimodo;Lolita;IT62202650966;Lawyer;619483
Vespa;Marco;IT31462890919;Lawyer;619486
Borsellino;Jacopo;IT92719640309;Lawyer;619489
Capone;Pasquale;IT66187190484;Lawyer;619492
Turci;Etta;IT24688270560;Lawyer;619495
Tozzi;Alfio;IT62652420290;Lawyer;619498
Maglio;Annamaria;IT61283430330;Lawyer;619501
Bonino;Carmelo;IT94842890801;Lawyer;619504
Salandra;Sandro;IT49113730862;Lawyer;619507
Callegari;Tiziana;IT00979270386;Lawyer;619510
Moschino;Lucrezia;IT76701538886;Lawyer;619513
Bataglia;Alberto;IT87544601203;Lawyer;619516
Vezzali;Bianca;IT41598620304;Lawyer;619519
Bianchi;Lara;IT16644580801;Lawyer;619522
Salvo;Ansaldo;IT84079030452;Lawyer;619525
Mazzi;Cesare;IT33968180894;Lawyer;619528
Pizzo;Antonietta;IT11394170069;Lawyer;619531
Grassi;Salvi;IT91115580804;Lawyer;619534
Saffi;Lucia;IT94820360249;Lawyer;619537
Foscari;Aldo;IT10800670027;Lawyer;619540
Capone;Isa;IT23033570229;Lawyer;619543
Murri;Ciro;IT35352370080;Lawyer;619546
Ricolfi;Luciana;IT16226840219;Lawyer;619549
Lovato;Fabrizio;IT09709920475;Lawyer;619552
Roero;Massimo;IT27862500785;Lawyer;619555
Travaglio;Melissa;IT96336540248;Lawyer;619558
Interminelli;Maria;IT45159290712;Lawyer;619561
Pininfarina;Alina;IT99436030045;Lawyer;619564
Comolli;Berenice;IT87385780249;Lawyer;619567
Fieramosca;Atenulf;IT84246300143;Lawyer;619570
Mimun;Costantino;IT22590330860;Lawyer;619573
Ferraris;Bianca;IT38469780399;Lawyer;619576
Marini;Lucia;IT96752180974;Lawyer;619579
Morrocco;Francesco;IT44357720059;Lawyer;619582
Rossellini;Durante;IT10365170348;Lawyer;619585
Tassoni;Dionigi;IT10452070112;Lawyer;619588
Cibin;Fabrizio;IT69941860095;Lawyer;619591
Rubbia;Gelsomina;IT05906540827;Lawyer;619594
Stoppani;Ludovico;IT64247530765;Lawyer;619597
Onio;Antonino;IT62781800073;Lawyer;619600
Gritti;Carlo;IT40203370024;Lawyer;619603
Fracci;Durante;IT11110050421;Lawyer;619606
Saffi;Serena;IT01001170883;Lawyer;619609
Bresciani;Carmelo;IT30405040319;Lawyer;619612
Giannotti;Leonardo;IT49491190689;Lawyer;619615
Acerbi;Matteo;IT83227290844;Lawyer;619618
Garozzo;Angelo;IT30644670405;Lawyer;619621
Argento;Augusto;IT05173790444;Lawyer;619624
Nordio;Luisa;IT62192500221;Lawyer;619627
Luxardo;Laureano;IT94291810789;Lawyer;619630
Togliatti;Rolando;IT25647640470;Lawyer;619633
Ferragamo;Giampaolo;IT23829490707;Lawyer;619636
Pepe;Raffaella;IT59502150218;Lawyer;619639
Bossi;Nino;IT85712540104;Lawyer;619642
Sbarbaro;Amleto;IT89808260106;Lawyer;619645
Gatto;Eraldo;IT70040470109;Lawyer;619648
Goldoni;Saverio;IT58867430033;Lawyer;619651
Altera;Piero;IT61348580129;Lawyer;619654
Udinesi;Angelica;IT66136630994;Lawyer;619657
Pizzo;Benito;IT91614720968;Lawyer;619660
Dallara;Rossana;IT34639130086;Lawyer;619663
Venditti;Fiorenzo;IT65631460303;Lawyer;619666
Cherubini;Ninetta;IT29292700449;Lawyer;619669
Antonini;Costanzo;IT19553990383;Lawyer;619672
Martinelli;Priscilla;IT67101380185;Lawyer;619675
Tartini;Eleanora;IT20274910973;Lawyer;619678
Mortati;Giuliana;IT83276290372;Lawyer;619681
Sorrentino;Sole;IT51498719999;Lawyer;619684
Dallapé;Cassandra;IT48709970346;Lawyer;619687
Garobbio;Nino;IT40774370361;Lawyer;619690
Monteverdi;Gianni;IT00019040872;Lawyer;619693
Forza;Manuel;IT68453510924;Lawyer;619696
Brunello;Donatella;IT38813890464;Lawyer;619699
Leblanc;Silvio;IT97892850302;Lawyer;619702
Tozzo;Eva;IT03838150617;Lawyer;619705
Roero;Panfilo;IT28670990713;Lawyer;619708
Marzorati;Nanni;IT01695600864;Lawyer;619711
Farnese;Azeglio;IT78152440455;Lawyer;619714
Gregori;Rocco;IT28074860454;Lawyer;619717
Cimini;Eva;IT97812230288;Lawyer;619720
Majorana;Eraldo;IT21899930057;Lawyer;619723
Ossani;Giuseppe;IT69288420537;Lawyer;619726
Branciforte;Eugenia;IT90601981005;Lawyer;619729
Argenti;Isabella;IT26199010344;Lawyer;619732
Montecchi;Uberto;IT90248170459;Lawyer;619735
Pigafetta;Ansaldo;IT44724000086;Lawyer;619738
Prodi;Enzo;IT03536230877;Lawyer;619741
Romano;Calogero;IT39092330115;Lawyer;619744
Leoncavallo;Marina;IT16176150254;Lawyer;619747
Ruffini;Edoardo;IT69813628885;Lawyer;619750
Branciforte;Pina;IT96853010864;Lawyer;619753
Padovano;Baldassare;IT43816850069;Lawyer;619756
Fantini;Marisa;IT81035270545;Lawyer;619759
Toninelli;Stefano;IT09986280395;Lawyer;619762
Argan;Ornella;IT67541050257;Lawyer;619765
Riccati;Fernanda;IT00053090940;Lawyer;619768
Rienzo;Adriano;IT46956320397;Lawyer;619771
Antonioni;Tatiana;IT30361150300;Lawyer;619774
Surian;Mariana;IT52385220836;Lawyer;619777
Campanella;Claudio;IT98509351007;Lawyer;619780
Santorio;Coriolano;IT55437010519;Lawyer;619783
Forza;Nina;IT95229099999;Lawyer;619786
Pace;Giacinto;IT30330630812;Lawyer;619789
Petrassi;Uberto;IT86305460973;Lawyer;619792
Camiscione;Giovanna;IT17587000492;Lawyer;619795
Parpinel;Tiziano;IT93042330832;Lawyer;619798
Munari;Alina;IT58353080946;Lawyer;619801
Pacetti;Arnaldo;IT62316460732;Lawyer;619804
Giacometti;Gaspare;IT93876280376;Lawyer;619807
Opizzi;Gloria;IT53531290913;Lawyer;619810
Bianchini;Mario;IT15958960039;Lawyer;619813
Pedrazzini;Veronica;IT26665280363;Lawyer;619816
Bramante;Leopoldo;IT45888180465;Lawyer;619819
Desio;Temistocle;IT80471200552;Lawyer;619822
Salvemini;Pina;IT10145380654;Lawyer;619825
Endrizzi;Antonia;IT83586810125;Lawyer;619828
Combi;Mirco;IT85602010721;Lawyer;619831
Morrocco;Rembrandt;IT29155780959;Lawyer;619834
Legnante;Bettina;IT34806530720;Lawyer;619837
Ricolfi;Loretta;IT83639900949;Lawyer;619840
