:LABEL;value;:ID
Phone;393853346053;449403
Phone;393771576110;449408
Phone;393739995549;449413
Phone;393827732861;449418
Phone;393885042251;449423
Phone;393810655829;449428
Phone;393749757629;449433
Phone;393896590882;449438
Phone;393887253314;449443
Phone;393870428651;449448
Phone;393805639816;449453
Phone;393759190693;449458
Phone;393886430416;449463
Phone;393802659856;449468
Phone;393760305526;449473
Phone;393887099321;449478
Phone;393801932339;449483
Phone;393755618972;449488
Phone;393758822022;449493
Phone;393863616293;449498
Phone;393897807598;449503
Phone;393785514708;449508
Phone;393799955958;449513
Phone;393810384343;449518
Phone;393780291111;449523
Phone;393770522702;449528
Phone;393745165047;449533
Phone;393855627093;449538
Phone;393856141236;449543
Phone;393761278590;449548
Phone;393812211028;449553
Phone;393832819491;449558
Phone;393768763081;449563
Phone;393863895771;449568
Phone;393882523837;449573
Phone;393849618540;449578
Phone;393899384853;449583
Phone;393842227639;449588
Phone;393869439037;449593
Phone;393819147388;449598
Phone;393754097755;449603
Phone;393847953958;449608
Phone;393863859622;449613
Phone;393873842610;449618
Phone;393825362532;449623
Phone;393851899533;449628
Phone;393883800939;449633
Phone;393817123966;449638
Phone;393756106918;449643
Phone;393770502209;449648
Phone;393786425750;449653
Phone;393784659496;449658
Phone;393798291169;449663
Phone;393767338547;449668
Phone;393809830757;449673
Phone;393748994301;449678
Phone;393778460952;449683
Phone;393826496056;449688
Phone;393761448744;449693
Phone;393822116882;449698
Phone;393871742040;449703
Phone;393780836941;449708
Phone;393835042684;449713
Phone;393781053695;449718
Phone;393842245086;449723
Phone;393848552478;449728
Phone;393864670037;449733
Phone;393871834584;449738
Phone;393871008600;449743
Phone;393841792108;449748
Phone;393883942071;449753
Phone;393797218927;449758
Phone;393755498997;449763
Phone;393804714239;449768
Phone;393843659252;449773
Phone;393807461278;449778
Phone;393862067742;449783
Phone;393864923933;449788
Phone;393893502932;449793
Phone;393862241336;449798
Phone;393857093283;449803
Phone;393755322357;449808
Phone;393842714075;449813
Phone;393756775330;449818
Phone;393755497007;449823
Phone;393840385824;449828
Phone;393869076264;449833
Phone;393739568207;449838
Phone;393765893392;449843
Phone;393870338653;449848
Phone;393780633322;449853
Phone;393857422782;449858
Phone;393835854859;449863
Phone;393841763345;449868
Phone;393778075538;449873
Phone;393824767594;449878
Phone;393864260286;449883
Phone;393796712410;449888
Phone;393755065187;449893
Phone;393763994083;449898
Phone;393872242289;449903
Phone;393753742806;449908
Phone;393788238649;449913
Phone;393813713033;449918
Phone;393763788814;449923
Phone;393889983599;449928
Phone;393765812822;449933
Phone;393808305901;449938
Phone;393849631719;449943
Phone;393852471038;449948
Phone;393880474012;449953
Phone;393804025379;449958
Phone;393744317169;449963
Phone;393869168344;449968
Phone;393897615737;449973
Phone;393812065255;449978
Phone;393789126884;449983
Phone;393816392454;449988
Phone;393898827259;449993
Phone;393865618681;449998
Phone;393871496822;450003
Phone;393768667745;450008
Phone;393820503788;450013
Phone;393799307923;450018
Phone;393873565472;450023
Phone;393808410106;450028
Phone;393775956059;450033
Phone;393827231503;450038
Phone;393781326936;450043
Phone;393853392237;450048
Phone;393827322063;450053
Phone;393893248632;450058
Phone;393843854259;450063
Phone;393840339362;450068
Phone;393804937503;450073
Phone;393818399366;450078
Phone;393858028324;450083
Phone;393789996973;450088
Phone;393894665538;450093
Phone;393855477506;450098
Phone;393747727195;450103
Phone;393839216774;450108
Phone;393743763602;450113
Phone;393761969631;450118
Phone;393762531817;450123
Phone;393739668165;450128
Phone;393794266813;450133
Phone;393848561107;450138
Phone;393844391723;450143
