last_name;code;:LABEL;first_name;:ID
Giolitti;204718833152;Evaluator;Griselda;1546
Scarpetta;372201121795;Evaluator;Galasso;1549
Guidotti;239572046856;Evaluator;Ernesto;1552
Bertolucci;46138818569;Evaluator;Santino;1555
Mattarella;364493587980;Evaluator;Pina;1558
Satriani;590599948302;Evaluator;Antonia;1561
Pederiva;758761504790;Evaluator;Teresa;1564
Piccio;7540665373;Evaluator;Roman;1567
Bernetti;933751769122;Evaluator;Rodolfo;1570
Agazzi;831055644710;Evaluator;Virginia;1573
Borgia;135757156910;Evaluator;Ernesto;1576
Juvara;51046190127;Evaluator;Amadeo;1579
Giulietti;479908142643;Evaluator;Tiziano;1582
Iannuzzi;709541035060;Evaluator;Piero;1585
Grimani;823736563255;Evaluator;Orlando;1588
Tafuri;562647810615;Evaluator;Michele;1591
Cassarà;951574473788;Evaluator;Tiziana;1594
Callegaro;234665965119;Evaluator;Sandra;1597
Sauli;749888425538;Evaluator;Sandro;1600
Giolitti;680296061506;Evaluator;Caterina;1603
Gaito;512666425928;Evaluator;Piersanti;1606
Vento;150346825810;Evaluator;Sandra;1609
Gabba;535009391188;Evaluator;Giacomo;1612
Balla;218654489185;Evaluator;Sergius;1615
Ferretti;54385311329;Evaluator;Giancarlo;1618
Parmitano;45196009060;Evaluator;Cirillo;1621
Sraffa;848146665575;Evaluator;Azeglio;1624
Rinaldi;353881715325;Evaluator;Marcantonio;1627
Finotto;101534588542;Evaluator;Gionata;1630
Columbo;649688512641;Evaluator;Ricciotti;1633
Alboni;600752321670;Evaluator;Leopoldo;1636
Disdero;418723729031;Evaluator;Calogero;1639
Iannuzzi;37547395725;Evaluator;Maria;1642
Lanfranchi;576538321038;Evaluator;Valerio;1645
Impastato;587837891229;Evaluator;Nino;1648
Notarbartolo;777956100765;Evaluator;Eva;1651
Redi;911668410531;Evaluator;Cipriano;1654
Brambilla;107639988907;Evaluator;Eugenia;1657
Toscanini;267205937849;Evaluator;Serafina;1660
Pasqua;738978075336;Evaluator;Gloria;1663
Zanichelli;850985077964;Evaluator;Ilaria;1666
Ponti;33294762701;Evaluator;Lilla;1669
Micca;554430083791;Evaluator;Donato;1672
Antonello;723612046039;Evaluator;Saverio;1675
Rossetti;380618138841;Evaluator;Maura;1678
Modiano;208820204265;Evaluator;Antonella;1681
Greco;195633059054;Evaluator;Marcella;1684
Galuppi;47800944879;Evaluator;Gilberto;1687
Gori;436203112697;Evaluator;Zaira;1690
Lettiere;415135085817;Evaluator;Bartolomeo;1693
Bragadin;89321068287;Evaluator;Lilla;1696
Bonomo;544350465791;Evaluator;Mirco;1699
Mengolo;105193821951;Evaluator;Tatiana;1702
Montanariello;328450421000;Evaluator;Lamberto;1705
Catalano;396644750601;Evaluator;Liliana;1708
Vigorelli;801384578315;Evaluator;Loredana;1711
Cadorna;760129148177;Evaluator;Giorgio;1714
Anichini;493817175826;Evaluator;Fulvio;1717
Rienzo;282720136470;Evaluator;Annetta;1720
Cardano;385457549090;Evaluator;Tullio;1723
Pizziol;382340415783;Evaluator;Laura;1726
Beccheria;322666602280;Evaluator;Ciro;1729
Salgari;941586254120;Evaluator;Mirco;1732
Doria;641155125547;Evaluator;Niccolò;1735
Gregori;308756236588;Evaluator;Gianfrancesco;1738
Parmitano;977375288620;Evaluator;Ronaldo;1741
Tafuri;316548324144;Evaluator;Giancarlo;1744
Brugnaro;554649954611;Evaluator;Fiorenzo;1747
Casaleggio;193176794934;Evaluator;Marco;1750
Filogamo;188545478981;Evaluator;Nino;1753
Barillaro;438895017287;Evaluator;Agnolo;1756
Flaiano;507837714252;Evaluator;Leopoldo;1759
Caffarelli;794463518549;Evaluator;Domenico;1762
Vendetti;892722703196;Evaluator;Donatello;1765
Lettiere;884528608618;Evaluator;Federigo;1768
Zanazzo;164318310252;Evaluator;Maria;1771
Contarini;998685690732;Evaluator;Manuel;1774
Adinolfi;144131324788;Evaluator;Raffaella;1777
Varano;975860409205;Evaluator;Griselda;1780
Venier;808191337334;Evaluator;Amadeo;1783
Frescobaldi;689669694847;Evaluator;Galasso;1786
Conte;818103294344;Evaluator;Giulietta;1789
Guinizzelli;898743686029;Evaluator;Ornella;1792
Barcella;854592758673;Evaluator;Massimiliano;1795
Morpurgo;390602764178;Evaluator;Massimiliano;1798
Sauli;386054848918;Evaluator;Melissa;1801
Pace;276225600926;Evaluator;Stella;1804
Renault;782265126305;Evaluator;Giulia;1807
Malatesta;643732578734;Evaluator;Etta;1810
Piazzi;848248048052;Evaluator;Coriolano;1813
Gregorio;763200352696;Evaluator;Alfredo;1816
Palmisano;231810889147;Evaluator;Emilio;1819
Scarfoglio;519845093315;Evaluator;Bianca;1822
Rizzoli;101975779268;Evaluator;Ansaldo;1825
Basso;859643687374;Evaluator;Cipriano;1828
Pezzali;185352478679;Evaluator;Benito;1831
Ajello;425546967002;Evaluator;Roberta;1834
Caccioppoli;718971879901;Evaluator;Lamberto;1836
Mercadante;212720027613;Evaluator;Oreste;1838
Benussi;949347037151;Evaluator;Martino;1840
Bettin;689874867680;Evaluator;Giorgia;1842
Crespi;81675588577;Evaluator;Fabrizia;1844
Tanzini;666954255330;Evaluator;Roberto;1846
Brichese;721835219428;Evaluator;Lucrezia;1848
Venier;446868688370;Evaluator;Coluccio;1850
Argan;334524946419;Evaluator;Ilaria;1852
Gramsci;64268160509;Evaluator;Pasqual;1854
Venditti;546243762175;Evaluator;Antonello;1856
