last_name;full_name;:LABEL;first_name;:ID
Bersani;Napoleone Bersani;Customer;Napoleone;1120
Versace;Gaetano Versace;Customer;Gaetano;1125
Pastine;Rosario Pastine;Customer;Rosario;1130
Tassoni;Alfio Tassoni;Customer;Alfio;1135
Finotto;Dina Finotto;Customer;Dina;1140
Nordio;Arnaldo Nordio;Customer;Arnaldo;1145
Viola;Luigina Viola;Customer;Luigina;1150
Tropea;Riccardo Tropea;Customer;Riccardo;1155
Briccialdi;Jolanda Briccialdi;Customer;Jolanda;1160
Gabbana;Raimondo Gabbana;Customer;Raimondo;1165
Querini;Uberto Querini;Customer;Uberto;1170
Golgi;Gaspare Golgi;Customer;Gaspare;1175
Maggioli;Erika Maggioli;Customer;Erika;1180
Montanelli;Telemaco Montanelli;Customer;Telemaco;1185
Prodi;Pierpaolo Prodi;Customer;Pierpaolo;1190
Paolucci;Giacobbe Paolucci;Customer;Giacobbe;1195
Catenazzi;Isabella Catenazzi;Customer;Isabella;1200
Visconti;Sergius Visconti;Customer;Sergius;1205
Baracca;Amadeo Baracca;Customer;Amadeo;1210
Bajardi;Sonia Bajardi;Customer;Sonia;1215
Gullotta;Mariana Gullotta;Customer;Mariana;1220
Grifeo;Amleto Grifeo;Customer;Amleto;1225
Lanfranchi;Vincenza Lanfranchi;Customer;Vincenza;1230
Barcella;Fabrizio Barcella;Customer;Fabrizio;1235
Ferragamo;Maria Ferragamo;Customer;Maria;1240
Gradenigo;Bruno Gradenigo;Customer;Bruno;1245
Bonanno;Vanessa Bonanno;Customer;Vanessa;1250
Abatantuono;Guido Abatantuono;Customer;Guido;1255
Dibiasi;Rembrandt Dibiasi;Customer;Rembrandt;1260
Amaldi;Aldo Amaldi;Customer;Aldo;1265
Scotti;Gabriele Scotti;Customer;Gabriele;1270
Merisi;Umberto Merisi;Customer;Umberto;1275
Ferrari;Gino Ferrari;Customer;Gino;1280
Foa;Giorgio Foa;Customer;Giorgio;1285
Catenazzi;Elmo Catenazzi;Customer;Elmo;1290
Altera;Vincenzo Altera;Customer;Vincenzo;1295
Lombardo;Ennio Lombardo;Customer;Ennio;1300
Cossiga;Pier Cossiga;Customer;Pier;1305
Platini;Francesca Platini;Customer;Francesca;1310
Barillaro;Elvira Barillaro;Customer;Elvira;1315
Vasari;Licia Vasari;Customer;Licia;1320
Trombetta;Ennio Trombetta;Customer;Ennio;1325
Scamarcio;Mario Scamarcio;Customer;Mario;1330
Donini;Emilio Donini;Customer;Emilio;1335
Carnera;Dante Carnera;Customer;Dante;1340
Staglieno;Marcella Staglieno;Customer;Marcella;1345
Belletini;Luciano Belletini;Customer;Luciano;1350
Pausini;Stefano Pausini;Customer;Stefano;1355
Smirnoff;Ernesto Smirnoff;Customer;Ernesto;1360
Venturi;Gianpaolo Venturi;Customer;Gianpaolo;1365
Pastine;Roberta Pastine;Customer;Roberta;1370
Carli;Giustino Carli;Customer;Giustino;1375
Papafava;Silvestro Papafava;Customer;Silvestro;1380
Volta;Lodovico Volta;Customer;Lodovico;1385
Barbarigo;Tullio Barbarigo;Customer;Tullio;1390
Pozzecco;Virginia Pozzecco;Customer;Virginia;1395
Mocenigo;Leonardo Mocenigo;Customer;Leonardo;1400
Caffarelli;Nina Caffarelli;Customer;Nina;1405
Mazzanti;Serafina Mazzanti;Customer;Serafina;1410
Zanazzo;Gioele Zanazzo;Customer;Gioele;1415
Pagnotto;Ugolino Pagnotto;Customer;Ugolino;1420
Pratesi;Pierluigi Pratesi;Customer;Pierluigi;1425
Merisi;Alina Merisi;Customer;Alina;1430
Fattori;Elmo Fattori;Customer;Elmo;1435
Travaglia;Gian Travaglia;Customer;Gian;1440
Vendetti;Giuseppe Vendetti;Customer;Giuseppe;1445
Dandolo;Romeo Dandolo;Customer;Romeo;1450
Ginese;Laura Ginese;Customer;Laura;1455
Callegaro;Ramona Callegaro;Customer;Ramona;1460
Civaschi;Lina Civaschi;Customer;Lina;1465
Amaldi;Angelica Amaldi;Customer;Angelica;1470
Carosone;Alberto Carosone;Customer;Alberto;1474
Rubbia;Giovanna Rubbia;Customer;Giovanna;1478
Tamborini;Irma Tamborini;Customer;Irma;1482
Serraglio;Puccio Serraglio;Customer;Puccio;1486
Argurio;Emma Argurio;Customer;Emma;1490
Semitecolo;Federico Semitecolo;Customer;Federico;1494
Casagrande;Annetta Casagrande;Customer;Annetta;1498
Luna;Gilberto Luna;Customer;Gilberto;1502
Contarini;Sophia Contarini;Customer;Sophia;1506
Filippini;Fabrizia Filippini;Customer;Fabrizia;1510
Bettoni;Biagio Bettoni;Customer;Biagio;1513
Bernardini;Aria Bernardini;Customer;Aria;1516
Saragat;Fiorino Saragat;Customer;Fiorino;1519
Lucarelli;Geronimo Lucarelli;Customer;Geronimo;1522
Iannotti;Antonia Iannotti;Customer;Antonia;1525
Bacosi;Greca Bacosi;Customer;Greca;1527
Speri;Alessia Speri;Customer;Alessia;1529
Padovano;Teresa Padovano;Customer;Teresa;1531
Gucci;Licia Gucci;Customer;Licia;1533
Antonetti;Roberta Antonetti;Customer;Roberta;1535
Bresciani;Maria Bresciani;Customer;Maria;1536
Bongiorno;Stefani Bongiorno;Customer;Stefani;1537
Pavanello;Aldo Pavanello;Customer;Aldo;1538
Lussu;Nico Lussu;Customer;Nico;1539
Carocci;Gianni Carocci;Customer;Gianni;1540
Volta;Flavio Volta;Customer;Flavio;1541
Medici;Nicolò Medici;Customer;Nicolò;1542
Moneta;Sole Moneta;Customer;Sole;1543
Liverotti;Rembrandt Liverotti;Customer;Rembrandt;1544
