:ID;:LABEL;value
1124;SSN;MNNNNT03B11I335J
1129;SSN;BRSSYV85A05M109H
1134;SSN;TRTMLD68S06E072B
1139;SSN;BGLRMG44S61H371Z
1144;SSN;MNLVNL92T17I090F
1149;SSN;PDRMRH50M06G317O
1154;SSN;SMRLBT69H68A339D
1159;SSN;TRVVLT58E09C912J
1164;SSN;MSPLDC77M08A851O
1169;SSN;BRCLGO64A09I324Z
1174;SSN;CSTDNG43A61B193Y
1179;SSN;PRGCLL20P10F015E
1184;SSN;PSRGLN65E12L857J
1189;SSN;SLTDNG54R53C541S
1194;SSN;PNCPMN38T60E395G
1199;SSN;SCTBNT65E67A766C
1204;SSN;CHPMRA23A18A650H
1209;SSN;TRVTRT17R50G492H
1214;SSN;DNNLTZ53D08H682L
1219;SSN;RGRLNI93S25H002V
1224;SSN;LNTCRL96B68C261N
1229;SSN;FLNGRL98R27C962D
1234;SSN;PRNSMN64R55A660A
1239;SSN;CGUPCC17A51F611F
1244;SSN;FRCBNT27R44F265H
1249;SSN;CMPMTT35M61M189M
1254;SSN;MNTLFD59T41G519X
1259;SSN;STCSLV58T57L155J
1264;SSN;PNTBRT32T61I286T
1269;SSN;CSTLBT75T55C936G
1274;SSN;FNTRNL23P16M042H
1279;SSN;SNSFRN30A55L501J
1284;SSN;GLTCPN98L41I092O
1289;SSN;VRGFLV68A54H439U
1294;SSN;STRSBT97C54B570P
1299;SSN;MSSMRN63T15D697P
1304;SSN;BTTBGI34R43A324B
1309;SSN;BLBRMI14C28L011T
1314;SSN;GNSNNI77E47L909G
1319;SSN;BRSFBA19P04A187C
1324;SSN;BCCDNL65H26H366A
1329;SSN;GBRGLN99B43A831G
1334;SSN;RGNDNI16E02C332Y
1339;SSN;TRTBNN27E42D593L
1344;SSN;FNTGFR03E54F900A
1349;SSN;SNGGMM12C11F829B
1354;SSN;CLVZEI28T45L846F
1359;SSN;GCCRFL43E48D665O
1364;SSN;TSOMNC42P04I794N
1369;SSN;BSSRSR24L12L812B
1374;SSN;RLNLFD59B66I444J
1379;SSN;MRSRNF85B49L496A
1384;SSN;BRGNGC98D06C699E
1389;SSN;CTNGCB43T44D462O
1394;SSN;GRSCML23T46G410D
1399;SSN;DSCGGL27S62B051A
1404;SSN;NTRMLA57M02G978D
1409;SSN;CDRNTA13T03D043E
1414;SSN;MRCNNT13E09L716N
1419;SSN;CRRNGC34P15E462I
1424;SSN;ZNZFBZ37M02C480Q
1429;SSN;GLRGML14C48D999Z
1434;SSN;BTTMTD24H25B214P
1439;SSN;PGLRMN43R24I341H
1444;SSN;VGRRNZ74B55B823Y
1449;SSN;BXITLC27A41M077R
1454;SSN;FRNLBC19E61L388C
1459;SSN;TGLNNZ61A19I322N
1464;SSN;RPSGBL88H60I809V
1469;SSN;TSSGFR51H57G441W
1473;SSN;LNEMRD16L07L561C
1477;SSN;BRBGLR86C50I053X
1481;SSN;VNTRGR94A41D333G
1485;SSN;CEOSYV07D14G643K
1489;SSN;CNLMRA63R18C126D
1493;SSN;NTNLNE14M17D004R
1497;SSN;MSPNTN27T25F463R
1501;SSN;VNTLPN08L49G459N
1505;SSN;TSOLDN80D42E769B
1509;SSN;RRGGSN06C47I501V
1512;SSN;TRTFDG99B66A640E
1515;SSN;STTGNG44A63L928B
1518;SSN;RMNTNO11D14F383I
1521;SSN;GTTMSM44R46E811S
1524;SSN;SCHTZN68T18E724T
