last_name;first_name;full_name;:LABEL;:ID
Bragadin;Gabriella;Gabriella Bragadin;Customer;74900
Salgari;Tina;Tina Salgari;Customer;74905
Barzini;Micheletto;Micheletto Barzini;Customer;74910
Delle;Achille;Achille Delle;Customer;74915
Peruzzi;Rossana;Rossana Peruzzi;Customer;74920
Campanella;Antonio;Antonio Campanella;Customer;74925
Scialpi;Damiano;Damiano Scialpi;Customer;74930
Dovara;Federica;Federica Dovara;Customer;74935
Scandone;Angelo;Angelo Scandone;Customer;74940
Doria;Fiamma;Fiamma Doria;Customer;74945
Procacci;Pasquale;Pasquale Procacci;Customer;74950
Caironi;Ramona;Ramona Caironi;Customer;74955
Finzi;Adriano;Adriano Finzi;Customer;74960
Sokolov;Ignazio;Ignazio Sokolov;Customer;74965
Riccati;Durante;Durante Riccati;Customer;74970
Platini;Nanni;Nanni Platini;Customer;74975
Malpighi;Michele;Michele Malpighi;Customer;74980
Jacuzzi;Osvaldo;Osvaldo Jacuzzi;Customer;74985
Cesaroni;Romolo;Romolo Cesaroni;Customer;74990
Celentano;Dante;Dante Celentano;Customer;74995
Scalera;Angelina;Angelina Scalera;Customer;75000
Callegari;Dante;Dante Callegari;Customer;75005
Pisaroni;Adelasia;Adelasia Pisaroni;Customer;75010
Fabbri;Melania;Melania Fabbri;Customer;75015
Storladi;Carlo;Carlo Storladi;Customer;75020
Morandi;Benito;Benito Morandi;Customer;75025
Martucci;Renata;Renata Martucci;Customer;75030
Visconti;Arturo;Arturo Visconti;Customer;75035
Cabibbo;Serafina;Serafina Cabibbo;Customer;75040
Bertoni;Panfilo;Panfilo Bertoni;Customer;75045
Benussi;Carlo;Carlo Benussi;Customer;75050
Fantoni;Filippa;Filippa Fantoni;Customer;75055
Modugno;Valerio;Valerio Modugno;Customer;75060
Mantegna;Natalia;Natalia Mantegna;Customer;75065
Goldoni;Arnulfo;Arnulfo Goldoni;Customer;75070
Vittadello;Gianpietro;Gianpietro Vittadello;Customer;75075
Ludovisi;Ninetta;Ninetta Ludovisi;Customer;75080
Trentini;Chiara;Chiara Trentini;Customer;75085
Carli;Graziano;Graziano Carli;Customer;75090
Depero;Vincenza;Vincenza Depero;Customer;75095
Antonioni;Amedeo;Amedeo Antonioni;Customer;75100
Valguarnera;Marina;Marina Valguarnera;Customer;75105
Tresoldi;Antonella;Antonella Tresoldi;Customer;75110
Moschino;Loredana;Loredana Moschino;Customer;75115
Lombroso;Antonino;Antonino Lombroso;Customer;75120
Gargallo;Mirko;Mirko Gargallo;Customer;75125
Giammusso;Roberto;Roberto Giammusso;Customer;75130
Borgia;Piersanti;Piersanti Borgia;Customer;75135
Bernardi;Carla;Carla Bernardi;Customer;75140
Lombardi;Agostino;Agostino Lombardi;Customer;75145
Delle;Geronimo;Geronimo Delle;Customer;75150
Gargallo;Veronica;Veronica Gargallo;Customer;75155
Finetti;Claudio;Claudio Finetti;Customer;75160
Giusti;Gianluca;Gianluca Giusti;Customer;75165
Toscanini;Patrizio;Patrizio Toscanini;Customer;75170
Buonauro;Pasquale;Pasquale Buonauro;Customer;75175
Scalera;Isa;Isa Scalera;Customer;75180
Cristoforetti;Ludovico;Ludovico Cristoforetti;Customer;75185
Leopardi;Etta;Etta Leopardi;Customer;75190
Montanari;Fiorenzo;Fiorenzo Montanari;Customer;75195
Curiel;Gianpietro;Gianpietro Curiel;Customer;75200
Pacomio;Dino;Dino Pacomio;Customer;75205
Tolentino;Giustino;Giustino Tolentino;Customer;75210
Orengo;Ubaldo;Ubaldo Orengo;Customer;75215
Sabbatini;Nadia;Nadia Sabbatini;Customer;75220
Mozart;Allegra;Allegra Mozart;Customer;75225
Modiano;Riccardo;Riccardo Modiano;Customer;75230
Rizzoli;Oreste;Oreste Rizzoli;Customer;75235
Martucci;Elvira;Elvira Martucci;Customer;75240
Segrè;Eleanora;Eleanora Segrè;Customer;75245
Russo;Ippazio;Ippazio Russo;Customer;75250
Bernini;Donatella;Donatella Bernini;Customer;75255
Mondadori;Lorenzo;Lorenzo Mondadori;Customer;75260
Gelli;Uberto;Uberto Gelli;Customer;75265
Soranzo;Valeria;Valeria Soranzo;Customer;75270
Boito;Gilberto;Gilberto Boito;Customer;75275
Palladio;Michele;Michele Palladio;Customer;75280
Bresciani;Greco;Greco Bresciani;Customer;75285
Anguissola;Giampiero;Giampiero Anguissola;Customer;75290
Filzi;Rossana;Rossana Filzi;Customer;75295
Baglioni;Aria;Aria Baglioni;Customer;75300
Ligorio;Antonio;Antonio Ligorio;Customer;75305
Cignaroli;Ermenegildo;Ermenegildo Cignaroli;Customer;75310
Valmarana;Ivan;Ivan Valmarana;Customer;75315
Pavanello;Gabriella;Gabriella Pavanello;Customer;75320
Foà;Rosalia;Rosalia Foà;Customer;75325
Agnesi;Pina;Pina Agnesi;Customer;75330
Ossani;Imelda;Imelda Ossani;Customer;75335
Venditti;Erika;Erika Venditti;Customer;75340
Cicilia;Gioffre;Gioffre Cicilia;Customer;75345
Errigo;Maria;Maria Errigo;Customer;75350
Giacometti;Leonardo;Leonardo Giacometti;Customer;75355
Ciani;Nina;Nina Ciani;Customer;75360
Zaguri;Sandra;Sandra Zaguri;Customer;75365
Schiavo;Ottavio;Ottavio Schiavo;Customer;75370
Pedrazzini;Viridiana;Viridiana Pedrazzini;Customer;75375
Zaccardo;Rosalia;Rosalia Zaccardo;Customer;75380
Argurio;Maria;Maria Argurio;Customer;75385
Baroffio;Clelia;Clelia Baroffio;Customer;75390
Mercalli;Marina;Marina Mercalli;Customer;75395
