last_name;first_name;code;:LABEL;:ID
Cheda;Riccardo;544547012609;Evaluator;159901
Buscetta;Severino;551609958420;Evaluator;159904
Novaro;Biagio;128139526165;Evaluator;159907
Cabrini;Rembrandt;888777998363;Evaluator;159910
Broschi;Arnulfo;56370266143;Evaluator;159913
Gelli;Vito;674838609954;Evaluator;159916
Maggioli;Paoletta;449807515686;Evaluator;159919
Zetticci;Tonia;10873995302;Evaluator;159922
Rinaldi;Ettore;808270692395;Evaluator;159925
Pozzecco;Valerio;965821595697;Evaluator;159928
Mastroianni;Rolando;2954100791;Evaluator;159931
Lucciano;Niccolò;591210217536;Evaluator;159934
Verdi;Greco;955139489858;Evaluator;159937
Pietrangeli;Benedetto;777379381315;Evaluator;159940
Trapani;Uberto;549848744002;Evaluator;159943
Spallanzani;Benedetto;469089910853;Evaluator;159946
Alighieri;Germana;332958269510;Evaluator;159949
Cheda;Carolina;758106292295;Evaluator;159952
Bonatti;Giovanni;999983284302;Evaluator;159955
Gregori;Beppe;87428169831;Evaluator;159958
Lattuada;Ciro;359745323117;Evaluator;159961
Galeati;Piermaria;275677446261;Evaluator;159964
Murialdo;Pierpaolo;811936514172;Evaluator;159967
Agnesi;Morena;277105868930;Evaluator;159970
Brichese;Cesare;351177539737;Evaluator;159973
Guarato;Mauro;99852746905;Evaluator;159976
Casale;Fabrizio;382567055518;Evaluator;159979
Zanzi;Vittorio;455481622694;Evaluator;159982
Lupo;Nadia;557955678376;Evaluator;159985
Stradivari;Maurizio;807620182185;Evaluator;159988
Jovinelli;Jacopo;336479649982;Evaluator;159991
Monaco;Fabia;625623302340;Evaluator;159994
Giannuzzi;Filippa;27058766023;Evaluator;159997
Milanesi;Raffaella;608989610197;Evaluator;160000
Pastine;Calogero;780175802588;Evaluator;160003
Manacorda;Paola;502915662050;Evaluator;160006
Togliatti;Panfilo;66146140398;Evaluator;160009
Ceci;Torquato;272804217073;Evaluator;160012
Babati;Pomponio;275140968705;Evaluator;160015
Desio;Ermenegildo;404809056515;Evaluator;160018
Leonetti;Fortunata;996116398339;Evaluator;160021
Cagnotto;Lisa;669644882179;Evaluator;160024
Paruta;Giuseppe;601344966918;Evaluator;160027
Andreozzi;Caterina;922454720773;Evaluator;160030
Finetti;Paulina;487460176139;Evaluator;160033
Navone;Diana;721409409296;Evaluator;160036
Lamborghini;Lilla;304361898263;Evaluator;160039
Gussoni;Ludovica;957613605149;Evaluator;160042
Cimini;Luigi;663738908967;Evaluator;160045
Garozzo;Marta;396251758888;Evaluator;160048
Pistoletto;Mercedes;623445934401;Evaluator;160051
Ubaldi;Piero;547001467202;Evaluator;160054
Zaccardo;Marcantonio;501137670480;Evaluator;160057
Ariosto;Gianfranco;377098469723;Evaluator;160060
Pontecorvo;Salvi;888683626847;Evaluator;160063
Vitturi;Nicoletta;148431176037;Evaluator;160066
Gottardi;Amadeo;346671677810;Evaluator;160069
Tacchini;Arturo;33884078462;Evaluator;160072
Rinaldi;Margherita;345803194758;Evaluator;160075
Mattarella;Simonetta;904969322891;Evaluator;160078
Morosini;Nicolò;685513245067;Evaluator;160081
Ceri;Anita;301507019151;Evaluator;160084
Paltrinieri;Alphons;995813491091;Evaluator;160087
Squarcione;Riccardo;97357529493;Evaluator;160090
Rastelli;Gelsomina;538524909983;Evaluator;160093
Galeati;Paoletta;794336428447;Evaluator;160096
Cerutti;Marina;281709117858;Evaluator;160099
Vanvitelli;Salvatore;383537250725;Evaluator;160102
Argentero;Virginia;704698253745;Evaluator;160105
Gasperi;Gilberto;628361789874;Evaluator;160108
Venturi;Loretta;43715396021;Evaluator;160111
Scotto;Michelangelo;673777582520;Evaluator;160114
Orengo;Maria;630349496764;Evaluator;160117
Gabbana;Oreste;945177493966;Evaluator;160120
Vasari;Fabia;455416611283;Evaluator;160123
Sauli;Gianfrancesco;552277377493;Evaluator;160126
Salieri;Calogero;390619595222;Evaluator;160129
Pellico;Gianluca;69741576663;Evaluator;160132
Babato;Laureano;872853012951;Evaluator;160135
Polani;Gioacchino;485847335386;Evaluator;160138
Galuppi;Fedele;564810220006;Evaluator;160141
Maspero;Gaetano;874623664615;Evaluator;160144
Fallaci;Luisa;715379966441;Evaluator;160147
Boccioni;Camillo;291113927149;Evaluator;160150
Esposito;Bettina;391874347501;Evaluator;160153
Filangieri;Rosaria;55863804399;Evaluator;160156
Bandello;Susanna;399335358968;Evaluator;160159
Vecoli;Donato;722765349370;Evaluator;160162
Traetta;Berenice;86912008711;Evaluator;160165
Fischetti;Irma;254459773451;Evaluator;160168
Platini;Coluccio;37512151567;Evaluator;160171
Carli;Ida;298687398441;Evaluator;160174
Migliaccio;Jolanda;387116302913;Evaluator;160177
Dibiasi;Irma;781985251908;Evaluator;160180
Lamborghini;Alphons;961864925765;Evaluator;160183
Giannelli;Antonino;288021283403;Evaluator;160186
Rocca;Ermanno;783055979096;Evaluator;160189
Spadafora;Gianpietro;412419490400;Evaluator;160192
Guidotti;Bettina;274697552505;Evaluator;160195
Giammusso;Fabio;239770272380;Evaluator;160198
Gregori;Mariana;28474475134;Evaluator;160201
Malpighi;Ottavio;838222611074;Evaluator;160204
Carli;Torquato;673198768772;Evaluator;160207
Govoni;Maria;414695293574;Evaluator;160210
Farinelli;Enzo;479099486855;Evaluator;160213
Camilleri;Angelo;312378524300;Evaluator;160216
Fallaci;Matteo;932592091789;Evaluator;160219
Moretti;Dolores;612137042578;Evaluator;160222
Pizzo;Antonio;15932981913;Evaluator;160225
Zeffirelli;Maria;610614248090;Evaluator;160228
Tomasetti;Fiamma;448432833192;Evaluator;160231
Modugno;Gianfrancesco;449783136937;Evaluator;160234
Asmundo;Ettore;278207398581;Evaluator;160237
Nicolini;Silvestro;609888240318;Evaluator;160240
Carfagna;Raffaellino;10886447809;Evaluator;160243
Aloisio;Tatiana;138521871043;Evaluator;160246
Antonelli;Angelo;197981373124;Evaluator;160249
Camicione;Laura;700633318085;Evaluator;160252
Dandolo;Griselda;5091623620;Evaluator;160255
Scaramucci;Biagio;622373896905;Evaluator;160258
Sgarbi;Tullio;32194691785;Evaluator;160261
Dallara;Stefano;501506507469;Evaluator;160264
Fallaci;Amleto;247623844570;Evaluator;160267
Taliercio;Michela;948015203046;Evaluator;160270
Tartini;Nicolò;10481828585;Evaluator;160273
Abatantuono;Caterina;98988458731;Evaluator;160276
Leopardi;Mirko;868675617520;Evaluator;160279
Fittipaldi;Sole;194931720950;Evaluator;160282
Scarponi;Luchino;176066265846;Evaluator;160285
Lopresti;Elena;935134888706;Evaluator;160288
Jovinelli;Leopoldo;694550004493;Evaluator;160291
Pizzo;Antonella;269280084750;Evaluator;160294
Gregori;Sophia;368745251606;Evaluator;160297
Bembo;Silvia;132313514777;Evaluator;160300
Ricolfi;Cassandra;82717049635;Evaluator;160303
Cuzzocrea;Beatrice;695825597220;Evaluator;160306
Valmarana;Guido;868627645222;Evaluator;160309
Scaramucci;Ignazio;648226145080;Evaluator;160312
Samele;Giuseppe;30384063289;Evaluator;160315
Renzi;Arnaldo;881619239738;Evaluator;160318
Liverotti;Giampiero;198187942715;Evaluator;160321
Novaro;Vincenza;980071220035;Evaluator;160324
Moretti;Luca;36241802064;Evaluator;160327
Stein;Flavia;950434530130;Evaluator;160330
Corcos;Raffaele;432502211411;Evaluator;160333
Rossellini;Amanda;623610561365;Evaluator;160336
Stucchi;Letizia;97153844059;Evaluator;160339
Pinamonte;Guglielmo;139347755885;Evaluator;160342
Fabbri;Allegra;127003132807;Evaluator;160345
Boldù;Aria;725142864779;Evaluator;160348
Scandone;Luciana;418979775376;Evaluator;160351
Camuccini;Leopoldo;189206627230;Evaluator;160354
Sommaruga;Guido;523845108639;Evaluator;160357
Trotta;Dante;884786463651;Evaluator;160360
Guariento;Orlando;944508634019;Evaluator;160363
Barese;Franco;73030566826;Evaluator;160366
Liguori;Luca;720146269102;Evaluator;160369
Argurio;Hugo;736138625973;Evaluator;160372
Armani;Rosina;277709325248;Evaluator;160375
Goldstein;Aria;475210974145;Evaluator;160378
Pinamonte;Mario;870249137109;Evaluator;160381
Caruso;Mattia;328473773021;Evaluator;160384
Trotta;Veronica;18376426469;Evaluator;160387
Procacci;Cipriano;373361738736;Evaluator;160390
Ferrabosco;Vittorio;363798725619;Evaluator;160393
Onio;Alina;223340790772;Evaluator;160396
Ubaldi;Vincentio;612111221751;Evaluator;160399
Bettin;Luciano;550123865083;Evaluator;160402
Ponti;Graziano;643484615677;Evaluator;160405
Satriani;Gastone;682968089599;Evaluator;160408
Pirandello;Matteo;812265636863;Evaluator;160411
Monduzzi;Tina;513033896971;Evaluator;160414
Gentileschi;Sebastiano;793840845839;Evaluator;160417
Samele;Stefani;320294487068;Evaluator;160420
Pisano;Gioacchino;699145258017;Evaluator;160423
Cheda;Ermenegildo;421659684;Evaluator;160426
Garzoni;Ilaria;221904897071;Evaluator;160429
Caetani;Gustavo;762851361841;Evaluator;160432
Bataglia;Fulvio;372129793073;Evaluator;160435
Bova;Rosina;453964334129;Evaluator;160438
Ziani;Luigi;828135310386;Evaluator;160441
Casaleggio;Pomponio;979962430524;Evaluator;160444
Casalodi;Dina;931827811391;Evaluator;160447
Curatoli;Nicoletta;704609256511;Evaluator;160450
Cavalcanti;Oreste;112138388550;Evaluator;160453
Guarato;Romana;456805450825;Evaluator;160456
Ostinelli;Luisa;833393919053;Evaluator;160459
Frescobaldi;Lolita;534361408590;Evaluator;160462
Brunelleschi;Ivan;38696518734;Evaluator;160465
Tomaselli;Lauretta;796328985687;Evaluator;160468
Pisani;Daniele;370624562267;Evaluator;160471
Maggioli;Monica;247476257899;Evaluator;160474
Stefanelli;Pier;59685209208;Evaluator;160477
Mimun;Leonardo;209974068349;Evaluator;160480
Scarlatti;Monica;102716277893;Evaluator;160483
Filzi;Loretta;992533677201;Evaluator;160486
Iannelli;Atenulf;53643707539;Evaluator;160489
Guarneri;Germana;927338202262;Evaluator;160492
Volta;Silvio;812145837206;Evaluator;160495
Mantegazza;Mariano;641406600344;Evaluator;160498
Maspero;Maurizio;216785093791;Evaluator;160501
Pincherle;Annalisa;694888039583;Evaluator;160504
Tagliafierro;Martina;593537533089;Evaluator;160507
Trussardi;Calcedonio;408126620849;Evaluator;160510
Bergoglio;Loredana;829424665782;Evaluator;160513
Filangieri;Ottavio;580348806337;Evaluator;160516
Ortolani;Ottavio;750753023173;Evaluator;160519
Nievo;Lazzaro;366874985675;Evaluator;160522
Papafava;Gioele;341574943954;Evaluator;160525
Doria;Salvi;900910941397;Evaluator;160528
Busoni;Liana;520970044637;Evaluator;160531
Saraceno;Agnolo;141657507045;Evaluator;160534
Desio;Paolo;295757677804;Evaluator;160537
Tommaseo;Romana;706619376879;Evaluator;160540
Sanudo;Zaira;719496545549;Evaluator;160543
