last_name;first_name;IVA;:LABEL;:ID
Leone;Valerio;IT88893810478;Lawyer;159902
Cheda;Mariano;IT46368460500;Lawyer;159905
Pucci;Mariana;IT96017280429;Lawyer;159908
Botta;Gian;IT00797870870;Lawyer;159911
Ferretti;Augusto;IT30473200092;Lawyer;159914
Ziani;Lolita;IT61411440524;Lawyer;159917
Volterra;Giampaolo;IT46953400994;Lawyer;159920
Gangemi;Ramona;IT93887720220;Lawyer;159923
Squarcione;Evangelista;IT58492200868;Lawyer;159926
Paolini;Paoletta;IT16090520392;Lawyer;159929
Leonardi;Greco;IT96794380145;Lawyer;159932
Badoer;Sante;IT35522630488;Lawyer;159935
Tresoldi;Rossana;IT69477340736;Lawyer;159938
Majewski;Pierina;IT31837290183;Lawyer;159941
Mannoia;Luchino;IT07666920470;Lawyer;159944
Pagnotto;Ottavio;IT07290140941;Lawyer;159947
Pisani;Arnaldo;IT51567530467;Lawyer;159950
Errigo;Maria;IT90442780780;Lawyer;159953
Cimarosa;Mercedes;IT46584660693;Lawyer;159956
Gaiatto;Michele;IT26443190652;Lawyer;159959
Trebbi;Aurora;IT11195750176;Lawyer;159962
Tosto;Ricciotti;IT49627140889;Lawyer;159965
Barsanti;Luca;IT55802910350;Lawyer;159968
Caccioppoli;Rocco;IT08588660731;Lawyer;159971
Modugno;Giovanni;IT63755660352;Lawyer;159974
Anguissola;Ermes;IT92033950368;Lawyer;159977
Chigi;Antonello;IT01607540208;Lawyer;159980
Basso;Gianmarco;IT41794200026;Lawyer;159983
Cadorna;Donato;IT48183190197;Lawyer;159986
Crisafulli;Giada;IT10497520782;Lawyer;159989
Esposito;Rossana;IT83790700740;Lawyer;159992
Abba;Luigina;IT22949270940;Lawyer;159995
Vanvitelli;Gianpaolo;IT20230100255;Lawyer;159998
Errigo;Jolanda;IT75168140327;Lawyer;160001
Chechi;Donatello;IT04167961202;Lawyer;160004
Dallara;Uberto;IT54635090431;Lawyer;160007
Finetti;Gionata;IT94348060891;Lawyer;160010
Gualtieri;Chiara;IT03048720563;Lawyer;160013
Faugno;Pierina;IT90072788889;Lawyer;160016
Draghi;Silvio;IT00034660936;Lawyer;160019
Zichichi;Giuseppe;IT93676240729;Lawyer;160022
Passalacqua;Ottone;IT44894100211;Lawyer;160025
Bernardini;Uberto;IT66255320146;Lawyer;160028
Tagliafierro;Annunziata;IT59210830457;Lawyer;160031
Deledda;Allegra;IT75341610477;Lawyer;160034
Soranzo;Dario;IT31219470478;Lawyer;160037
Cocci;Adelmo;IT89371780092;Lawyer;160040
Fiorucci;Ugolino;IT77641120769;Lawyer;160043
