last_name;first_name;full_name;:LABEL;:ID
Sommaruga;Ivan;Ivan Sommaruga;Customer;224700
Montesano;Ottavio;Ottavio Montesano;Customer;224705
Infantino;Adriano;Adriano Infantino;Customer;224710
Briccialdi;Gaspare;Gaspare Briccialdi;Customer;224715
Lamborghini;Fernanda;Fernanda Lamborghini;Customer;224720
Travaglio;Tatiana;Tatiana Travaglio;Customer;224725
Gadda;Roman;Roman Gadda;Customer;224730
Proietti;Giacinto;Giacinto Proietti;Customer;224735
Metella;Rita;Rita Metella;Customer;224740
Caffarelli;Milo;Milo Caffarelli;Customer;224745
Niscoromni;Fabrizio;Fabrizio Niscoromni;Customer;224750
Malpighi;Raffaellino;Raffaellino Malpighi;Customer;224755
Navarria;Corrado;Corrado Navarria;Customer;224760
Belletini;Virginia;Virginia Belletini;Customer;224765
Govoni;Paoletta;Paoletta Govoni;Customer;224770
Pizzetti;Emma;Emma Pizzetti;Customer;224775
Lovato;Cesare;Cesare Lovato;Customer;224780
Vigorelli;Donatella;Donatella Vigorelli;Customer;224785
Metella;Vittorio;Vittorio Metella;Customer;224790
Paganini;Ugo;Ugo Paganini;Customer;224795
Antonacci;Rocco;Rocco Antonacci;Customer;224800
Mantegazza;Dario;Dario Mantegazza;Customer;224805
Basadonna;Lolita;Lolita Basadonna;Customer;224810
Orengo;Manuel;Manuel Orengo;Customer;224815
Boccaccio;Coriolano;Coriolano Boccaccio;Customer;224820
Bergoglio;Mauro;Mauro Bergoglio;Customer;224825
Tomasini;Dionigi;Dionigi Tomasini;Customer;224830
Pacillo;Armando;Armando Pacillo;Customer;224835
Argento;Delfino;Delfino Argento;Customer;224840
Iacobucci;Fabrizio;Fabrizio Iacobucci;Customer;224845
Dalla;Natalia;Natalia Dalla;Customer;224850
Chechi;Nino;Nino Chechi;Customer;224855
Mennea;Ludovico;Ludovico Mennea;Customer;224860
Grossi;Federigo;Federigo Grossi;Customer;224865
Scamarcio;Romeo;Romeo Scamarcio;Customer;224870
Righi;Carla;Carla Righi;Customer;224875
Cossiga;Ida;Ida Cossiga;Customer;224880
Cicilia;Jolanda;Jolanda Cicilia;Customer;224885
Montanelli;Antonello;Antonello Montanelli;Customer;224890
Paoletti;Adelasia;Adelasia Paoletti;Customer;224895
Esposito;Germana;Germana Esposito;Customer;224900
Doria;Benedetto;Benedetto Doria;Customer;224905
Malpighi;Adelasia;Adelasia Malpighi;Customer;224910
Viola;Claudio;Claudio Viola;Customer;224915
Innocenti;Benvenuto;Benvenuto Innocenti;Customer;224920
Alfonsi;Luciano;Luciano Alfonsi;Customer;224925
Galvani;Nanni;Nanni Galvani;Customer;224930
Monduzzi;Vittorio;Vittorio Monduzzi;Customer;224935
Scarfoglio;Melissa;Melissa Scarfoglio;Customer;224940
Piazzi;Alessandro;Alessandro Piazzi;Customer;224945
Pisaroni;Adriano;Adriano Pisaroni;Customer;224950
Traversa;Benito;Benito Traversa;Customer;224955
Tuzzolino;Maurilio;Maurilio Tuzzolino;Customer;224960
Bianchi;Fortunata;Fortunata Bianchi;Customer;224965
Rossini;Valentina;Valentina Rossini;Customer;224970
Loredan;Elena;Elena Loredan;Customer;224975
Inzaghi;Romolo;Romolo Inzaghi;Customer;224980
Renzi;Ignazio;Ignazio Renzi;Customer;224985
Toselli;Alessandra;Alessandra Toselli;Customer;224990
Bevilacqua;Clelia;Clelia Bevilacqua;Customer;224995
Paolucci;Melania;Melania Paolucci;Customer;225000
Ciampi;Dolores;Dolores Ciampi;Customer;225005
Balbi;Ottavio;Ottavio Balbi;Customer;225010
Carocci;Chiara;Chiara Carocci;Customer;225015
Impastato;Vincentio;Vincentio Impastato;Customer;225020
Loredan;Elena;Elena Loredan;Customer;225025
Botticelli;Antonello;Antonello Botticelli;Customer;225030
Interminelli;Elvira;Elvira Interminelli;Customer;225035
Vismara;Giacobbe;Giacobbe Vismara;Customer;225040
Bonomo;Amanda;Amanda Bonomo;Customer;225045
Cantimori;Raffaele;Raffaele Cantimori;Customer;225050
Giannone;Rembrandt;Rembrandt Giannone;Customer;225055
Taccola;Nina;Nina Taccola;Customer;225060
Procacci;Loredana;Loredana Procacci;Customer;225065
Saragat;Baldassare;Baldassare Saragat;Customer;225070
Curiel;Paride;Paride Curiel;Customer;225075
Ortese;Girolamo;Girolamo Ortese;Customer;225080
Mazzi;Milena;Milena Mazzi;Customer;225085
Morpurgo;Giuliano;Giuliano Morpurgo;Customer;225090
Cilea;Vito;Vito Cilea;Customer;225095
Zabarella;Francesca;Francesca Zabarella;Customer;225100
Tresoldi;Arnulfo;Arnulfo Tresoldi;Customer;225105
Pincherle;Olga;Olga Pincherle;Customer;225110
Lamborghini;Pompeo;Pompeo Lamborghini;Customer;225115
Zito;Daria;Daria Zito;Customer;225120
Querini;Maria;Maria Querini;Customer;225125
Zanichelli;Gianmarco;Gianmarco Zanichelli;Customer;225130
Tiepolo;Dante;Dante Tiepolo;Customer;225135
Camiscione;Amanda;Amanda Camiscione;Customer;225140
Dandolo;Nicolò;Nicolò Dandolo;Customer;225145
Sokolov;Ruggero;Ruggero Sokolov;Customer;225150
Romano;Ranieri;Ranieri Romano;Customer;225155
Pertile;Agnolo;Agnolo Pertile;Customer;225160
Sorrentino;Caterina;Caterina Sorrentino;Customer;225165
Infantino;Antonina;Antonina Infantino;Customer;225170
Conti;Martino;Martino Conti;Customer;225175
Tirabassi;Costanzo;Costanzo Tirabassi;Customer;225180
Garrone;Mauro;Mauro Garrone;Customer;225185
Bodoni;Aurora;Aurora Bodoni;Customer;225190
Errigo;Toni;Toni Errigo;Customer;225195
Emanuelli;Camilla;Camilla Emanuelli;Customer;225200
Trezzini;Francesca;Francesca Trezzini;Customer;225205
Anastasi;Pompeo;Pompeo Anastasi;Customer;225210
Giannuzzi;Marisa;Marisa Giannuzzi;Customer;225215
Storladi;Mercedes;Mercedes Storladi;Customer;225220
Oliboni;Antonia;Antonia Oliboni;Customer;225225
Tognazzi;Rosa;Rosa Tognazzi;Customer;225230
Boccaccio;Lara;Lara Boccaccio;Customer;225235
Cimini;Hugo;Hugo Cimini;Customer;225240
Gregorio;Martino;Martino Gregorio;Customer;225245
Cammarata;Virginia;Virginia Cammarata;Customer;225250
Chinnici;Michelotto;Michelotto Chinnici;Customer;225255
Visintini;Marco;Marco Visintini;Customer;225260
Capone;Mariana;Mariana Capone;Customer;225265
Biagiotti;Sergius;Sergius Biagiotti;Customer;225270
Ruffini;Mercedes;Mercedes Ruffini;Customer;225275
Villarosa;Pasqual;Pasqual Villarosa;Customer;225280
Rusticucci;Armando;Armando Rusticucci;Customer;225285
Bartoli;Aldo;Aldo Bartoli;Customer;225290
Zacco;Adriano;Adriano Zacco;Customer;225295
Iannucci;Daria;Daria Iannucci;Customer;225300
Galvani;Paulina;Paulina Galvani;Customer;225305
Montalcini;Augusto;Augusto Montalcini;Customer;225310
Sagnelli;Filippo;Filippo Sagnelli;Customer;225315
Pareto;Ippazio;Ippazio Pareto;Customer;225320
Cignaroli;Nicolò;Nicolò Cignaroli;Customer;225325
Guinizzelli;Leone;Leone Guinizzelli;Customer;225330
Gotti;Venancio;Venancio Gotti;Customer;225335
Ovadia;Gastone;Gastone Ovadia;Customer;225340
Cannizzaro;Lando;Lando Cannizzaro;Customer;225345
Argurio;Massimiliano;Massimiliano Argurio;Customer;225350
Loredan;Girolamo;Girolamo Loredan;Customer;225355
Panzera;Roberta;Roberta Panzera;Customer;225360
Zanichelli;Pina;Pina Zanichelli;Customer;225365
Beccheria;Melissa;Melissa Beccheria;Customer;225370
Bajardi;Adelmo;Adelmo Bajardi;Customer;225375
Grossi;Enrico;Enrico Grossi;Customer;225380
Pasolini;Goffredo;Goffredo Pasolini;Customer;225385
Zacco;Amleto;Amleto Zacco;Customer;225390
Bova;Giada;Giada Bova;Customer;225395
Balla;Rembrandt;Rembrandt Balla;Customer;225400
Romiti;Uberto;Uberto Romiti;Customer;225405
