:LABEL;country;:ID;city;street;zip_code
Address;Italy;561;Reggio Calabria;Viale Elisa, 7 Appartamento 3;73048
Address;Italy;566;Como;Canale Allegra, 725 Appartamento 56;95045
Address;Italy;571;Macerata;Piazza Badoer, 27;53049
Address;Italy;576;Lodi;Strada Gabrieli, 31;56030
Address;Italy;581;Ferrara;Via Berenice, 49 Appartamento 84;28824
Address;Italy;586;Ravenna;Via Nordio, 1;98159
Address;Italy;591;Roma;Strada Sebastiano, 56 Piano 6;91022
Address;Italy;596;Fermo;Vicolo Nina, 83;80040
Address;Italy;601;Caserta;Canale Victoria, 21;30015
Address;Italy;606;Venezia;Borgo Ludovisi, 2 Piano 1;35025
Address;Italy;611;Arezzo;Contrada Modugno, 22 Piano 8;25017
Address;Italy;616;Barletta-Andria-Trani;Borgo Benvenuto, 23;04015
Address;Italy;621;Caserta;Incrocio Salvini, 40;26022
Address;Italy;626;Imperia;Vicolo Bertolucci, 29 Piano 4;98125
Address;Italy;631;Venezia;Vicolo Condoleo, 86;20002
Address;Italy;636;Perugia;Rotonda Melissa, 52 Appartamento 94;21021
Address;Italy;641;Milano;Incrocio Vezzali, 50 Appartamento 76;80144
Address;Italy;646;Mantova;Borgo Amedeo, 60 Appartamento 87;26013
Address;Italy;651;Enna;Stretto Ennio, 77 Appartamento 60;86087
Address;Italy;656;Catanzaro;Viale Einaudi, 821;32028
Address;Italy;661;Olbia-Tempio;Vicolo Giovanna, 8;88833
Address;Italy;666;Varese;Canale Damiano, 840 Appartamento 63;39049
Address;Italy;671;Taranto;Contrada Gastone, 8 Appartamento 52;20012
Address;Italy;676;Biella;Borgo Rossana, 4 Appartamento 1;40126
Address;Italy;681;Monza e della Brianza;Vicolo Anita, 15 Appartamento 30;25037
Address;Italy;686;Mantova;Borgo Guarino, 64;17019
Address;Italy;691;Arezzo;Borgo Campano, 9;00017
Address;Italy;696;Bolzano;Vicolo Morpurgo, 979;45011
Address;Italy;701;Carbonia-Iglesias;Stretto Manuel, 899 Appartamento 7;27026
Address;Italy;706;Matera;Vicolo Salvini, 41 Piano 8;11021
Address;Italy;711;Terni;Rotonda Verri, 2 Piano 3;13848
Address;Italy;716;Mantova;Strada Michelotto, 79;00194
Address;Italy;721;Foggia;Borgo Taliercio, 155 Appartamento 4;47864
Address;Italy;726;Massa-Carrara;Piazza Bonolis, 69 Piano 0;16127
Address;Italy;731;Chieti;Stretto Evangelista, 6 Appartamento 53;06022
Address;Italy;736;Catania;Via Letizia, 64 Piano 6;74013
Address;Italy;741;Medio Campidano;Canale Mirko, 1 Appartamento 0;52026
Address;Italy;746;Nuoro;Borgo Donato, 0;63061
Address;Italy;751;Vicenza;Piazza Augusto, 32;40014
Address;Italy;756;Parma;Canale Valmarana, 85;10063
Address;Italy;761;Napoli;Canale Stefani, 14;65020
Address;Italy;766;Frosinone;Stretto Sergius, 3 Appartamento 59;83018
Address;Italy;771;Caltanissetta;Borgo Trincavelli, 68;97019
Address;Italy;776;Monza e della Brianza;Rotonda Pirandello, 99;13023
Address;Italy;781;Lecce;Incrocio Sandra, 651 Piano 4;02037
Address;Italy;786;Sondrio;Strada Lollobrigida, 720;11012
Address;Italy;791;Frosinone;Borgo Federico, 5;20814
Address;Italy;796;Pavia;Piazza Concetta, 74 Appartamento 7;87031
Address;Italy;801;Venezia;Piazza Palladio, 160;98056
Address;Italy;806;Grosseto;Via Tarantini, 556 Appartamento 0;19011
Address;Italy;811;Siena;Borgo Bellò, 76;23025
Address;Italy;816;Terni;Canale Govoni, 72 Appartamento 3;55100
Address;Italy;821;Trapani;Stretto Merisi, 973 Appartamento 32;81014
Address;Italy;825;Pordenone;Via Gianluigi, 64;40023
Address;Italy;829;Messina;Via Depero, 835 Piano 6;86073
Address;Italy;833;Palermo;Canale Bellò, 469;00037
Address;Italy;837;Trieste;Borgo Inzaghi, 9 Piano 0;38066
Address;Italy;841;Potenza;Canale Zamorani, 51;42028
Address;Italy;845;Cagliari;Stretto Luigi, 63 Piano 9;25042
Address;Italy;849;Carbonia-Iglesias;Stretto Ciro, 83 Piano 1;90143
Address;Italy;853;Pistoia;Vicolo Interiano, 5 Appartamento 4;01019
Address;Italy;856;Livorno;Contrada Anichini, 152;59024
Address;Italy;859;Belluno;Rotonda Telemaco, 64;80129
Address;Italy;862;Reggio Calabria;Borgo Annunziata, 8;02026
Address;Italy;864;Reggio Calabria;Contrada Tognazzi, 49;13898
Address;Italy;866;Oristano;Incrocio Livia, 0;51037
Address;Italy;868;Lucca;Vicolo Roero, 6;83035
