:LABEL;code;:ID;last_name;first_name
Evaluator;717643495939;878;Majewski;Elisa
Evaluator;576435328022;881;Eco;Ippazio
Evaluator;116945888279;884;Sagredo;Pietro
Evaluator;196960682011;887;Bevilacqua;Bianca
Evaluator;346234538016;890;Manolesso;Ottone
Evaluator;326133823009;893;Gradenigo;Angelo
Evaluator;517280778806;896;Travia;Erika
Evaluator;829631155774;899;Balbo;Eleanora
Evaluator;540171472446;902;Zaccardo;Angelina
Evaluator;519692100673;905;Scandone;Orazio
Evaluator;801218015301;908;Guidotti;Pomponio
Evaluator;301617004624;911;Jilani;Enrico
Evaluator;895107995220;914;Sinisi;Baccio
Evaluator;89581376093;917;Papetti;Tiziano
Evaluator;549557263456;920;Valmarana;Donna
Evaluator;408094478946;923;Barberini;Dolores
Evaluator;303953482861;926;Taliercio;Camilla
Evaluator;493210214511;929;Beffa;Luchino
Evaluator;952970801780;932;Folliero;Imelda
Evaluator;914991455861;935;Mortati;Giorgio
Evaluator;383359409280;938;Nolcini;Ruggero
Evaluator;974763231368;941;Chechi;Valerio
Evaluator;384942975637;944;Babati;Agnolo
Evaluator;517186947740;947;Armani;Nadia
Evaluator;573516021405;950;Casale;Puccio
Evaluator;462139731617;953;Comeriato;Mariano
Evaluator;386252904102;956;Murri;Francesca
Evaluator;739438825127;959;Monduzzi;Pier
Evaluator;187802576551;962;Bertoni;Alfredo
Evaluator;672001973932;965;Comolli;Simonetta
Evaluator;275808898741;968;Scarlatti;Rodolfo
Evaluator;403681525431;971;Lanfranchi;Nanni
Evaluator;743163993785;974;Collina;Patrizia
Evaluator;738756300474;977;Fagiani;Rosina
Evaluator;991755889852;980;Albertini;Virgilio
Evaluator;569548275905;983;Acerbi;Gioachino
Evaluator;879675835586;986;Tamburi;Luigi
Evaluator;758525011157;989;Faugno;Fredo
Evaluator;856829100758;992;Fittipaldi;Aurora
Evaluator;745566566116;995;Zabarella;Saverio
Evaluator;978182140651;998;Tommaseo;Amalia
Evaluator;509061733106;1001;Caccioppoli;Rolando
Evaluator;21989970162;1004;Collina;Caterina
Evaluator;826530462452;1007;Gianetti;Ivan
Evaluator;1800692982;1010;Boito;Ornella
Evaluator;341439499527;1013;Chiaramonte;Rosa
Evaluator;506892331293;1016;Alonzi;Salvi
Evaluator;462178980126;1019;Tamburello;Eraldo
Evaluator;304250724143;1022;Tarantino;Paoletta
Evaluator;636245359419;1025;Zoppetto;Antonina
Evaluator;641746060091;1028;Vasari;Annalisa
Evaluator;583459651399;1031;Costalonga;Claudio
Evaluator;3023216983;1034;Ariasso;Gioele
Evaluator;22389231455;1037;Gentilini;Ivan
Evaluator;926209578337;1040;Errigo;Orazio
Evaluator;175351099752;1043;Giacconi;Michele
Evaluator;115862115696;1046;Taliani;Camillo
Evaluator;918318459270;1049;Luna;Oreste
Evaluator;281262889354;1052;Canevascini;Alessio
Evaluator;619953080208;1055;Ferrazzi;Enzio
Evaluator;626106104208;1058;Delle;Dante
Evaluator;917579811735;1061;Schiavone;Luigi
Evaluator;437963897243;1064;Pareto;Pierina
Evaluator;497163900831;1067;Antonacci;Romana
Evaluator;293921036715;1070;Giradello;Gustavo
Evaluator;979928302508;1073;Franscini;Lucrezia
Evaluator;201920508334;1076;Scandone;Leopoldo
Evaluator;366798156209;1079;Littizzetto;Ermes
Evaluator;235944170930;1082;Notarbartolo;Mario
Evaluator;783082967474;1085;Mastroianni;Benito
Evaluator;198807629233;1088;Orengo;Donatella
Evaluator;728495434678;1091;Procacci;Ferdinando
Evaluator;420703370689;1094;Ovadia;Fortunata
Evaluator;64711214534;1096;Cainero;Susanna
Evaluator;889274642383;1098;Matteotti;Nino
Evaluator;364358656464;1100;Antonetti;Daniele
Evaluator;223467482067;1102;Manzoni;Renzo
Evaluator;728250668000;1104;Soranzo;Beppe
Evaluator;624861324277;1106;Abatantuono;Chiara
Evaluator;72446023160;1108;Curci;Cassandra
Evaluator;219797914105;1110;Ruffini;Giulia
