:LABEL;:ID;full_name;last_name;first_name
Customer;560;Giampaolo Ferretti;Ferretti;Giampaolo
Customer;565;Paoletta Bonolis;Bonolis;Paoletta
Customer;570;Fausto Galilei;Galilei;Fausto
Customer;575;Coluccio Rinaldi;Rinaldi;Coluccio
Customer;580;Silvio Littizzetto;Littizzetto;Silvio
Customer;585;Simone Lupo;Lupo;Simone
Customer;590;Tiziana Navarria;Navarria;Tiziana
Customer;595;Raimondo Petrucci;Petrucci;Raimondo
Customer;600;Giulia Baresi;Baresi;Giulia
Customer;605;Gioacchino Dandolo;Dandolo;Gioacchino
Customer;610;Girolamo Gigli;Gigli;Girolamo
Customer;615;Roman Bettoni;Bettoni;Roman
Customer;620;Rosario Lettiere;Lettiere;Rosario
Customer;625;Barbara Alonzi;Alonzi;Barbara
Customer;630;Victoria Trebbi;Trebbi;Victoria
Customer;635;Nicola Ubaldi;Ubaldi;Nicola
Customer;640;Fedele Mimun;Mimun;Fedele
Customer;645;Lando Chechi;Chechi;Lando
Customer;650;Nico Guglielmi;Guglielmi;Nico
Customer;655;Mattia Benigni;Benigni;Mattia
Customer;660;Natalia Curatoli;Curatoli;Natalia
Customer;665;Daria Trentin;Trentin;Daria
Customer;670;Aurora Galeati;Galeati;Aurora
Customer;675;Laura Scarpa;Scarpa;Laura
Customer;680;Antonino Bragaglia;Bragaglia;Antonino
Customer;685;Geronimo Cagnotto;Cagnotto;Geronimo
Customer;690;Pasquale Guidone;Guidone;Pasquale
Customer;695;Sole Fornaciari;Fornaciari;Sole
Customer;700;Luca Battelli;Battelli;Luca
Customer;705;Geronimo Tacchini;Tacchini;Geronimo
Customer;710;Orazio Lancisi;Lancisi;Orazio
Customer;715;Pompeo Giammusso;Giammusso;Pompeo
Customer;720;Ornella Silvestri;Silvestri;Ornella
Customer;725;Ornella Cendron;Cendron;Ornella
Customer;730;Fabrizia Andreotti;Andreotti;Fabrizia
Customer;735;Victoria Pace;Pace;Victoria
Customer;740;Camilla Pometta;Pometta;Camilla
Customer;745;Giacobbe Ottino;Ottino;Giacobbe
Customer;750;Maura Gravina;Gravina;Maura
Customer;755;Ippazio Guidone;Guidone;Ippazio
Customer;760;Hugo Scalfaro;Scalfaro;Hugo
Customer;765;Graziano Omma;Omma;Graziano
Customer;770;Imelda Farinelli;Farinelli;Imelda
Customer;775;Maurizio Bragadin;Bragadin;Maurizio
Customer;780;Bianca Satta;Satta;Bianca
Customer;785;Toni Columbo;Columbo;Toni
Customer;790;Beatrice Mazzacurati;Mazzacurati;Beatrice
Customer;795;Gioffre Gaito;Gaito;Gioffre
Customer;800;Gionata Malenchini;Malenchini;Gionata
Customer;805;Augusto Maccanelli;Maccanelli;Augusto
Customer;810;Achille Stradivari;Stradivari;Achille
Customer;815;Romina Bellò;Bellò;Romina
Customer;820;Eliana Cabibbo;Cabibbo;Eliana
Customer;824;Aldo Bongiorno;Bongiorno;Aldo
Customer;828;Pina Rossi;Rossi;Pina
Customer;832;Sante Doria;Doria;Sante
Customer;836;Annamaria Durante;Durante;Annamaria
Customer;840;Gemma Ligorio;Ligorio;Gemma
Customer;844;Niccolò Zabarella;Zabarella;Niccolò
Customer;848;Fiorino Troisi;Troisi;Fiorino
Customer;852;Elena Bonaventura;Bonaventura;Elena
Customer;855;Chiara Anguissola;Anguissola;Chiara
Customer;858;Sabatino Aulenti;Aulenti;Sabatino
Customer;861;Arnaldo Ajello;Ajello;Arnaldo
Customer;863;Hugo Scandone;Scandone;Hugo
Customer;865;Amico Carosone;Carosone;Amico
Customer;867;Romolo Monte;Monte;Romolo
Customer;869;Martina Favata;Favata;Martina
Customer;870;Fabrizio Almagià;Almagià;Fabrizio
Customer;871;Pier Mascheroni;Mascheroni;Pier
Customer;872;Sylvia Orlando;Orlando;Sylvia
Customer;873;Milo Morpurgo;Morpurgo;Milo
Customer;874;Giulio Cafarchia;Cafarchia;Giulio
Customer;875;Gaetano Colletti;Colletti;Gaetano
Customer;876;Lauretta Curatoli;Curatoli;Lauretta
