:LABEL;:ID;IVA;last_name;first_name
Lawyer;879;IT32295050069;Carpaccio;Giovanni
Lawyer;882;IT08296870309;Cesarotti;Maria
Lawyer;885;IT71031420228;Cuda;Alessio
Lawyer;888;IT63151360599;Grisoni;Raimondo
Lawyer;891;IT53681160619;Opizzi;Elladio
Lawyer;894;IT62338080351;Boitani;Gian
Lawyer;897;IT80838980821;Benussi;Sylvia
Lawyer;900;IT71147950969;Rosselli;Annamaria
Lawyer;903;IT51271980610;Pareto;Matteo
Lawyer;906;IT78520530607;Berrè;Lisa
Lawyer;909;IT92686720522;Salvo;Antonello
Lawyer;912;IT31362701216;Poerio;Ferdinando
Lawyer;915;IT64488000973;Bertoni;Alessia
Lawyer;918;IT43549270643;Falcone;Federica
Lawyer;921;IT22780540799;Fattori;Gianluca
Lawyer;924;IT82823880669;Tagliafierro;Giuseppina
Lawyer;927;IT81274860055;Schiavone;Liberto
Lawyer;930;IT28831390803;Perozzo;Lina
Lawyer;933;IT52438980212;Orlando;Alessandra
Lawyer;936;IT63192120432;Petrocelli;Vittorio
Lawyer;939;IT76929010429;Mascheroni;Francesca
Lawyer;942;IT69645270435;Pellegrini;Susanna
Lawyer;945;IT05590470414;Petruzzi;Angelica
Lawyer;948;IT02993550488;Antonello;Paoletta
Lawyer;951;IT63917760074;Ungaretti;Pierangelo
Lawyer;954;IT21352240051;Ruffini;Guido
Lawyer;957;IT01577590506;Morricone;Giorgia
Lawyer;960;IT93780740291;Curiel;Rolando
Lawyer;963;IT19857060032;Trillini;Pasqual
Lawyer;966;IT01295920399;Marini;Marco
Lawyer;969;IT14960040617;Canevascini;Pierina
Lawyer;972;IT86049510182;Sonnino;Raffaele
Lawyer;975;IT99657860732;Conti;Renzo
Lawyer;978;IT89997640175;Muratori;Federica
Lawyer;981;IT93174550454;Bellò;Jolanda
Lawyer;984;IT22610760419;Zola;Armando
Lawyer;987;IT73614440755;Pagnotto;Erika
Lawyer;990;IT42372020489;Sbarbaro;Fiorino
Lawyer;993;IT02485200154;Luzi;Gionata
Lawyer;996;IT20269640262;Bettin;Fabio
Lawyer;999;IT99996490704;Tommaseo;Flavia
Lawyer;1002;IT54627130096;Bonatti;Nadia
Lawyer;1005;IT74543370444;Fusani;Rosaria
Lawyer;1008;IT04695980880;Argan;Orlando
Lawyer;1011;IT71407110197;Mimun;Dario
Lawyer;1014;IT69209710057;Morellato;Mercedes
Lawyer;1017;IT02667750711;Moschino;Annalisa
Lawyer;1020;IT45729770706;Tomasini;Giorgio
Lawyer;1023;IT77009380856;Vigliotti;Venancio
Lawyer;1026;IT15919520278;Leonardi;Edoardo
Lawyer;1029;IT91987160834;Spanevello;Giuliano
Lawyer;1032;IT52882110092;Montessori;Alderano
Lawyer;1035;IT34794110980;Raurica;Claudio
Lawyer;1038;IT19426570586;Niggli;Mauro
Lawyer;1041;IT70718670345;Morandini;Pierangelo
Lawyer;1044;IT31564560543;Montessori;Matteo
Lawyer;1047;IT70452540647;Cocci;Enzo
Lawyer;1050;IT66900400293;Sagredo;Giuseppe
Lawyer;1053;IT18825220207;Grisoni;Erika
Lawyer;1056;IT85960560622;Puglisi;Ignazio
Lawyer;1059;IT32011770529;Cendron;Loredana
Lawyer;1062;IT24089318885;Lippomano;Morena
Lawyer;1065;IT76728530262;Venier;Costanzo
Lawyer;1068;IT34656690079;Pepe;Nico
Lawyer;1071;IT00542890546;Guarneri;Patrizio
Lawyer;1074;IT73034580719;Benedetti;Gabriele
Lawyer;1077;IT18560330617;Barberini;Luchino
Lawyer;1080;IT25013740292;Fagotto;Luisa
Lawyer;1083;IT34006490923;Balbi;Isa
Lawyer;1086;IT30931811209;Ostinelli;Donatello
Lawyer;1089;IT90173390791;Crisafulli;Saverio
Lawyer;1092;IT26120610782;Gilardoni;Eva
