last_name;full_name;:LABEL;first_name;:ID
Malatesta;Leone Malatesta;Customer;Leone;186
Iacobucci;Marcella Iacobucci;Customer;Marcella;191
Pepe;Paola Pepe;Customer;Paola;196
Bramante;Nicola Bramante;Customer;Nicola;201
Malaparte;Erika Malaparte;Customer;Erika;206
Nicoletti;Goffredo Nicoletti;Customer;Goffredo;211
Bertoni;Amadeo Bertoni;Customer;Amadeo;216
Saragat;Dina Saragat;Customer;Dina;221
Bellocchio;Goffredo Bellocchio;Customer;Goffredo;226
Scandone;Pierpaolo Scandone;Customer;Pierpaolo;231
Condoleo;Eleanora Condoleo;Customer;Eleanora;236
Nosiglia;Lisa Nosiglia;Customer;Lisa;241
Tosi;Maria Tosi;Customer;Maria;246
Muratori;Antonello Muratori;Customer;Antonello;251
Pizzamano;Gioachino Pizzamano;Customer;Gioachino;256
Scialpi;Torquato Scialpi;Customer;Torquato;261
Siffredi;Fausto Siffredi;Customer;Fausto;266
Gabba;Patrizia Gabba;Customer;Patrizia;271
Anguillara;Baldassare Anguillara;Customer;Baldassare;276
Panzera;Federico Panzera;Customer;Federico;281
Salieri;Graziano Salieri;Customer;Graziano;286
Antonello;Alberico Antonello;Customer;Alberico;291
Abate;Pompeo Abate;Customer;Pompeo;296
Falier;Toni Falier;Customer;Toni;301
Nitti;Maria Nitti;Customer;Maria;306
Torricelli;Lucia Torricelli;Customer;Lucia;311
Inzaghi;Luigina Inzaghi;Customer;Luigina;316
Tosto;Piermaria Tosto;Customer;Piermaria;321
Antonucci;Gianfrancesco Antonucci;Customer;Gianfrancesco;326
Comeriato;Giuseppe Comeriato;Customer;Giuseppe;331
Vattimo;Dolores Vattimo;Customer;Dolores;336
Santorio;Fiorino Santorio;Customer;Fiorino;341
Angiolello;Vito Angiolello;Customer;Vito;346
Cainero;Angelo Cainero;Customer;Angelo;351
Sagnelli;Gioffre Sagnelli;Customer;Gioffre;356
Bettin;Ilaria Bettin;Customer;Ilaria;361
Longhena;Virgilio Longhena;Customer;Virgilio;365
Vergassola;Rosario Vergassola;Customer;Rosario;369
Iacobucci;Luchino Iacobucci;Customer;Luchino;373
Donà;Emilio Donà;Customer;Emilio;377
Marenzio;Baldassare Marenzio;Customer;Baldassare;381
Pistoletto;Valerio Pistoletto;Customer;Valerio;384
Goldstein;Ruggiero Goldstein;Customer;Ruggiero;387
Depero;Ludovica Depero;Customer;Ludovica;389
Costanzi;Simonetta Costanzi;Customer;Simonetta;391
Mortati;Camilla Mortati;Customer;Camilla;393
Zoppetto;Donato Zoppetto;Customer;Donato;394
Comeriato;Cirillo Comeriato;Customer;Cirillo;395
Mattarella;Nadia Mattarella;Customer;Nadia;396
Padovano;Gian Padovano;Customer;Gian;397
