last_name;IVA;:LABEL;first_name;:ID
Serraglio;IT94183800047;Lawyer;Gianfrancesco;400
Mancini;IT88491270265;Lawyer;Gloria;403
Trombetta;IT74674100842;Lawyer;Maurilio;406
Navarria;IT31194460650;Lawyer;Giosuè;409
Bragadin;IT52725620752;Lawyer;Chiara;412
Nonis;IT67622880986;Lawyer;Giuliana;415
Benedetti;IT08496300305;Lawyer;Flavio;418
Majorana;IT66832030127;Lawyer;Piermaria;421
Argenti;IT92205470476;Lawyer;Tiziano;424
Argentero;IT19053050134;Lawyer;Zaira;427
Stradivari;IT33788630128;Lawyer;Vincentio;430
Farinelli;IT31940690048;Lawyer;Gionata;433
Duodo;IT22953660325;Lawyer;Barbara;436
Piazzi;IT56219160621;Lawyer;Enzio;439
Raurica;IT75372170292;Lawyer;Concetta;442
Visconti;IT78911060826;Lawyer;Durante;445
Zecchini;IT91967210930;Lawyer;Camillo;448
Barcella;IT39978250353;Lawyer;Luciana;451
Volterra;IT46100630386;Lawyer;Sebastiano;454
Bernini;IT05843350561;Lawyer;Sergius;457
Iannucci;IT74024878881;Lawyer;Donna;460
Casaleggio;IT97329990705;Lawyer;Lucia;463
Taliani;IT19735510760;Lawyer;Puccio;466
Gianvecchio;IT50742720183;Lawyer;Agnolo;469
Zanazzo;IT02283721005;Lawyer;Donna;472
Turati;IT89219470294;Lawyer;Marcello;475
Mennea;IT73498820981;Lawyer;Jolanda;478
Roth;IT81123140816;Lawyer;Liana;481
Navarria;IT06059540960;Lawyer;Graziella;484
Tebaldi;IT89692260246;Lawyer;Ernesto;487
Bottigliero;IT90574840972;Lawyer;Gelsomina;490
Paoletti;IT23485330171;Lawyer;Luisa;493
Cardano;IT61528621214;Lawyer;Pierangelo;496
Boaga;IT25719050020;Lawyer;Micheletto;499
Crespi;IT19398860213;Lawyer;Ottavio;502
Gucci;IT16345090829;Lawyer;Giacomo;505
Platini;IT06195560377;Lawyer;Vincenzo;508
Bodoni;IT89248430053;Lawyer;Alderano;511
Desio;IT46598230533;Lawyer;Arnaldo;514
Borrani;IT91301220868;Lawyer;Calcedonio;517
Trentini;IT12763760639;Lawyer;Bartolomeo;520
Fittipaldi;IT95751609991;Lawyer;Ignazio;523
Contarini;IT14908490700;Lawyer;Cecilia;526
Matteotti;IT72225870947;Lawyer;Carolina;529
Cesaroni;IT79344390962;Lawyer;Delfino;532
Aporti;IT93423451215;Lawyer;Evangelista;535
Alboni;IT72440080157;Lawyer;Michelotto;538
Argurio;IT09978470707;Lawyer;Giovanna;541
