:LABEL;:ID;last_name;full_name;first_name
Customer;217;Savorgnan;Romina Savorgnan;Romina
Customer;222;Maglio;Alessandra Maglio;Alessandra
Customer;227;Ferrazzi;Viridiana Ferrazzi;Viridiana
Customer;232;Emo;Fabrizio Emo;Fabrizio
Customer;237;Detti;Marisa Detti;Marisa
Customer;242;Cibin;Arnaldo Cibin;Arnaldo
Customer;247;Tommaseo;Michele Tommaseo;Michele
Customer;252;Boccioni;Giuseppe Boccioni;Giuseppe
Customer;257;Traversa;Gemma Traversa;Gemma
Customer;262;Scarponi;Fortunata Scarponi;Fortunata
Customer;267;Canova;Michelotto Canova;Michelotto
Customer;272;Granatelli;Dino Granatelli;Dino
Customer;277;Babati;Greco Babati;Greco
Customer;282;Zarlino;Mauro Zarlino;Mauro
Customer;287;Marinetti;Gianni Marinetti;Gianni
Customer;291;Monaco;Barbara Monaco;Barbara
Customer;295;Pacetti;Sergius Pacetti;Sergius
Customer;298;Morandi;Matteo Morandi;Matteo
Customer;300;Argento;Raffaellino Argento;Raffaellino
Customer;301;Pedroni;Rosario Pedroni;Rosario
