:LABEL;IVA;:ID;last_name;first_name
Lawyer;IT06362660042;304;Bosio;Agostino
Lawyer;IT16939090318;307;Trupiano;Torquato
Lawyer;IT46577980074;310;Altera;Antonino
Lawyer;IT92103860380;313;Camilleri;Ranieri
Lawyer;IT12666760801;316;Dibiasi;Guido
Lawyer;IT74853091218;319;Tedesco;Niccolò
Lawyer;IT09620981200;322;Santoro;Lauretta
Lawyer;IT46364161219;325;Detti;Maura
Lawyer;IT02933210094;328;Tarantino;Alfio
Lawyer;IT01150890984;331;Faggiani;Puccio
Lawyer;IT57155770381;334;Gargallo;Camillo
Lawyer;IT87153250961;337;Surian;Rosa
Lawyer;IT13908380705;340;Rismondo;Ennio
Lawyer;IT30267520242;343;Campise;Atenulf
Lawyer;IT62772700530;346;Fischetti;Alessio
Lawyer;IT62079750428;349;Pasqua;Eva
Lawyer;IT20679800399;352;Righi;Rolando
Lawyer;IT94946240390;355;Filippini;Simonetta
Lawyer;IT62252200373;358;Babato;Gionata
