last_name;full_name;:LABEL;first_name;:ID
Duse;Berenice Duse;Customer;Berenice;0
Lamborghini;Gemma Lamborghini;Customer;Gemma;5
Nicoletti;Rossana Nicoletti;Customer;Rossana;10
Ioppi;Pierangelo Ioppi;Customer;Pierangelo;15
Correr;Angelica Correr;Customer;Angelica;20
Trupiano;Lilla Trupiano;Customer;Lilla;25
Bottaro;Tiziana Bottaro;Customer;Tiziana;30
Baglioni;Baldassare Baglioni;Customer;Baldassare;35
Casini;Monica Casini;Customer;Monica;40
Monte;Alessandro Monte;Customer;Alessandro;45
Strangio;Beatrice Strangio;Customer;Beatrice;50
Detti;Roberto Detti;Customer;Roberto;55
Baglioni;Michele Baglioni;Customer;Michele;60
Tonisto;Letizia Tonisto;Customer;Letizia;65
Toninelli;Oreste Toninelli;Customer;Oreste;70
Bixio;Sophia Bixio;Customer;Sophia;75
Babati;Tonino Babati;Customer;Tonino;80
Piacentini;Ida Piacentini;Customer;Ida;85
Pedersoli;Flavio Pedersoli;Customer;Flavio;89
Agostinelli;Liliana Agostinelli;Customer;Liliana;93
Quasimodo;Pasquale Quasimodo;Customer;Pasquale;97
Lopresti;Michele Lopresti;Customer;Michele;100
Benedetti;Antonino Benedetti;Customer;Antonino;102
Pacetti;Victoria Pacetti;Customer;Victoria;103
Giammusso;Marcantonio Giammusso;Customer;Marcantonio;104
