first_name;:LABEL;code;last_name;:ID
Galasso;Evaluator;265964500473;Solimena;399
Ricciotti;Evaluator;137306451086;Bergoglio;402
Fernanda;Evaluator;326742612502;Niggli;405
Eleanora;Evaluator;430619201817;Pezzali;408
Vittorio;Evaluator;696104356505;Piccinni;411
Marissa;Evaluator;870052590747;Sismondi;414
Ciro;Evaluator;578380131611;Malacarne;417
Sergius;Evaluator;16972809638;Filangieri;420
Elisa;Evaluator;887311450663;Paltrinieri;423
Nicoletta;Evaluator;422816351400;Papafava;426
Melissa;Evaluator;696272858152;Sansoni;429
Maurilio;Evaluator;320463578281;Cibin;432
Biagio;Evaluator;742191490091;Disdero;435
Tina;Evaluator;723746985137;Fabrizi;438
Adriano;Evaluator;887681739572;Monaco;441
Pompeo;Evaluator;961706246327;Sauro;444
Arturo;Evaluator;142570043320;Alfieri;447
Benvenuto;Evaluator;138415429815;Dellucci;450
Pierluigi;Evaluator;469259313219;Morandi;453
Antonella;Evaluator;632927637315;Leonetti;456
Arnulfo;Evaluator;753909569733;Rocca;459
Temistocle;Evaluator;321806670150;Goldoni;462
Atenulf;Evaluator;175373559503;Ciani;465
Alessio;Evaluator;660689416656;Bignami;468
Nicola;Evaluator;95845385171;Zabarella;471
Alessandro;Evaluator;713584860247;Nosiglia;474
Renzo;Evaluator;182325193432;Salgari;477
Marcella;Evaluator;462881367256;Pacetti;480
Clelia;Evaluator;561333003226;Spinelli;483
Simonetta;Evaluator;740005585371;Puglisi;486
Licia;Evaluator;791738312412;Micca;489
Sante;Evaluator;702471077881;Goldoni;492
Cristina;Evaluator;594821051486;Pistoletto;495
Pietro;Evaluator;469187505375;Galuppi;498
Alessandra;Evaluator;438294804576;Montalcini;501
Federico;Evaluator;23219921630;Aldobrandi;504
Venancio;Evaluator;195448530138;Maglio;507
Adamo;Evaluator;725697395039;Dallara;510
Puccio;Evaluator;436331209691;Tamburello;513
Ninetta;Evaluator;344309911781;Camuccini;516
Marisa;Evaluator;29852290790;Armani;519
Martino;Evaluator;761836647786;Tornatore;522
Elmo;Evaluator;599907683051;Casarin;525
Isabella;Evaluator;726492281069;Gabbana;528
Bettina;Evaluator;753967939438;Tiepolo;531
Sonia;Evaluator;590329369328;Veneziano;534
Maria;Evaluator;737578255731;Spallanzani;537
Lazzaro;Evaluator;560704720115;Endrizzi;540
Lazzaro;Evaluator;653368019445;Burcardo;543
Nadia;Evaluator;894966128117;Iacobucci;545
Vincentio;Evaluator;204576485623;Ludovisi;547
Giampiero;Evaluator;242926881913;Giacometti;549
Adelasia;Evaluator;721383991420;Botticelli;551
Pierpaolo;Evaluator;369362232573;Borroni;553
