:LABEL;first_name;full_name;last_name;:ID
Customer;Letizia;Letizia Trentini;Trentini;186
Customer;Flavio;Flavio Foscari;Foscari;191
Customer;Concetta;Concetta Gangemi;Gangemi;196
Customer;Tina;Tina Gullotta;Gullotta;201
Customer;Lorenzo;Lorenzo Pennetta;Pennetta;206
Customer;Gino;Gino Pellegrini;Pellegrini;211
Customer;Fiorino;Fiorino Condoleo;Condoleo;216
Customer;Jolanda;Jolanda Bonomo;Bonomo;221
Customer;Ezio;Ezio Casellati;Casellati;226
Customer;Gianluigi;Gianluigi Scalera;Scalera;231
Customer;Irma;Irma Campise;Campise;236
Customer;Livia;Livia Scarpa;Scarpa;241
Customer;Ermanno;Ermanno Sorrentino;Sorrentino;246
Customer;Sebastiano;Sebastiano Cardano;Cardano;251
Customer;Ludovico;Ludovico Zacco;Zacco;256
Customer;Ezio;Ezio Bragadin;Bragadin;261
Customer;Giuliano;Giuliano Sabbatini;Sabbatini;266
Customer;Delfino;Delfino Calbo;Calbo;271
Customer;Mariana;Mariana Morosini;Morosini;276
Customer;Zaira;Zaira Guicciardini;Guicciardini;281
Customer;Rocco;Rocco Barzini;Barzini;286
Customer;Camillo;Camillo Germano;Germano;291
Customer;Raimondo;Raimondo Omma;Omma;296
Customer;Costantino;Costantino Zanzi;Zanzi;301
Customer;Dario;Dario Bocelli;Bocelli;306
Customer;Lamberto;Lamberto Fogazzaro;Fogazzaro;311
Customer;Alderano;Alderano Giorgetti;Giorgetti;316
Customer;Giampiero;Giampiero Sforza;Sforza;321
Customer;Emma;Emma Vercelloni;Vercelloni;326
Customer;Elmo;Elmo Parmitano;Parmitano;331
Customer;Tiziano;Tiziano Bonatti;Bonatti;336
Customer;Alessandro;Alessandro Mattarella;Mattarella;341
Customer;Mirco;Mirco Gabba;Gabba;346
Customer;Ermenegildo;Ermenegildo Toscanini;Toscanini;351
Customer;Dante;Dante Adinolfi;Adinolfi;356
Customer;Azeglio;Azeglio Gori;Gori;361
Customer;Matilda;Matilda Acerbi;Acerbi;365
Customer;Pomponio;Pomponio Missoni;Missoni;369
Customer;Romana;Romana Buscetta;Buscetta;373
Customer;Severino;Severino Pacetti;Pacetti;377
Customer;Elisa;Elisa Luzi;Luzi;381
Customer;Flavio;Flavio Filippelli;Filippelli;384
Customer;Stella;Stella Comencini;Comencini;387
Customer;Paloma;Paloma Canevascini;Canevascini;389
Customer;Antonino;Antonino Guicciardini;Guicciardini;391
Customer;Tiziano;Tiziano Maffei;Maffei;393
Customer;Angelina;Angelina Donarelli;Donarelli;394
Customer;Fernanda;Fernanda Salvini;Salvini;395
Customer;Claudia;Claudia Guinizzelli;Guinizzelli;396
Customer;Lando;Lando Zaccagnini;Zaccagnini;397
