country;city;street;:ID;zip_code;:LABEL
Italy;Arezzo;Stretto Michelangeli, 54 Appartamento 0;1;87056;Address
Italy;Roma;Piazza Giosuè, 86;6;86027;Address
Italy;Siena;Via Gilberto, 73 Appartamento 99;11;86045;Address
Italy;Forlì-Cesena;Via Farina, 342;16;43058;Address
Italy;Alessandria;Incrocio Gibilisco, 20 Appartamento 7;21;76123;Address
Italy;Siena;Vicolo Michelotto, 63 Piano 0;26;95131;Address
Italy;Cosenza;Stretto Salvo, 93 Appartamento 6;31;86021;Address
Italy;Belluno;Canale Miniati, 42;36;33094;Address
Italy;Verona;Stretto Belletini, 16 Piano 4;41;95031;Address
Italy;Caserta;Viale Scialpi, 5 Piano 2;46;81017;Address
Italy;Pavia;Stretto Vincenzo, 50;51;90036;Address
Italy;Venezia;Incrocio Benvenuto, 684;56;97018;Address
Italy;Oristano;Piazza Basso, 579;61;28046;Address
Italy;Sondrio;Canale Armellini, 9;66;27022;Address
Italy;Foggia;Canale Brenna, 84;71;25031;Address
Italy;Pescara;Vicolo Valeria, 58;76;95032;Address
Italy;Bergamo;Via Cianciolo, 3 Piano 3;81;72022;Address
Italy;Crotone;Stretto Monica, 11 Piano 7;86;81050;Address
Italy;Reggio Emilia;Viale Brugnaro, 6;90;06065;Address
Italy;Chieti;Strada Onio, 81;94;62032;Address
Italy;Roma;Contrada Ficino, 11 Appartamento 2;98;63839;Address
Italy;Cuneo;Borgo Catenazzi, 1;101;46046;Address
