:ID;:LABEL;value
374502;Email;michelotto.spanevello@yahoo.com
374507;Email;gianfranco.carfagna@hotmail.com
374512;Email;margherita.chiesa@yahoo.com
374517;Email;mattia.torricelli@gmail.com
374522;Email;greco.marzorati@yahoo.com
374527;Email;bruno.spinola@yahoo.com
374532;Email;tullio.jilani@outlook.com
374537;Email;panfilo.asmundo@hotmail.com
374542;Email;gaetano.garozzo@yahoo.com
374547;Email;ferdinando.giolitti@yahoo.com
374552;Email;calogero.franscini@outlook.com
374557;Email;alessandro.ramazzotti@yahoo.com
374562;Email;lamberto.satriani@outlook.it
374567;Email;elladio.salandra@outlook.com
374572;Email;flavio.serraglio@outlook.it
374577;Email;benvenuto.padovano@yahoo.com
374582;Email;enrico.marenzio@libero.it
374587;Email;gemma.papafava@libero.it
374592;Email;pina.granatelli@outlook.com
374597;Email;pierluigi.riccardi@hotmail.it
374602;Email;eva.udinesi@outlook.com
374607;Email;sole.ferrabosco@outlook.it
374612;Email;ernesto.nolcini@outlook.com
374617;Email;rosina.corradi@yahoo.com
374622;Email;gaetano.biagiotti@yahoo.com
374627;Email;pellegrino.gremese@outlook.com
374632;Email;rita.raurica@hotmail.com
374637;Email;tatiana.bajardi@outlook.com
374642;Email;melania.stein@yahoo.com
374647;Email;rosina.agazzi@yahoo.com
374652;Email;amico.magrassi@gmail.com
374657;Email;piero.bixio@yahoo.com
374662;Email;ermes.capecchi@hotmail.com
374667;Email;ornella.bonomo@libero.it
374672;Email;francesca.bignami@yahoo.com
374677;Email;roberto.maggioli@hotmail.com
374682;Email;paride.caironi@yahoo.com
374687;Email;alessia.padovano@hotmail.com
374692;Email;fiamma.sabatini@outlook.com
374697;Email;lara.ortese@gmail.com
374702;Email;agnolo.maderno@libero.it
374707;Email;ferdinando.garrone@libero.it
374712;Email;sebastiano.riccardi@libero.it
374717;Email;bruno.tropea@hotmail.com
374722;Email;roberta.pietrangeli@gmail.com
374727;Email;salvatore.lucciano@gmail.com
374732;Email;napoleone.giunti@gmail.com
374737;Email;maurizio.pergolesi@libero.it
374742;Email;griselda.jacuzzi@hotmail.it
374747;Email;giorgia.proietti@libero.it
374752;Email;damiano.corbo@gmail.com
374757;Email;stefani.tedesco@hotmail.it
374762;Email;orazio.scalera@hotmail.it
374767;Email;paoletta.pederiva@outlook.com
374772;Email;annamaria.zacchia@hotmail.com
374777;Email;piermaria.pepe@outlook.it
374782;Email;gino.metella@outlook.com
374787;Email;isa.adinolfi@gmail.com
374792;Email;fausto.montanari@hotmail.it
374797;Email;luigina.basso@hotmail.it
374802;Email;bianca.tasso@hotmail.it
374807;Email;rosa.trapanese@outlook.it
374812;Email;nicoletta.moneta@hotmail.it
374817;Email;arturo.cassarà@hotmail.com
374822;Email;stefano.gaito@yahoo.com
374827;Email;eliana.chechi@libero.it
374832;Email;orazio.pizzamano@gmail.com
374837;Email;lucio.naccari@libero.it
374842;Email;benedetto.sauli@gmail.com
374847;Email;silvio.mercalli@libero.it
374852;Email;laura.bonaventura@outlook.it
374857;Email;torquato.zacchia@libero.it
374862;Email;antonio.nicoletti@libero.it
374867;Email;marcantonio.majorana@hotmail.com
374872;Email;elvira.vigliotti@gmail.com
374877;Email;valentina.antonacci@hotmail.it
374882;Email;dionigi.interiano@hotmail.com
374887;Email;panfilo.esposito@libero.it
374892;Email;franco.riccati@outlook.it
374897;Email;ugo.giannelli@libero.it
374902;Email;sergius.trentin@yahoo.com
374907;Email;alfredo.smirnoff@outlook.it
374912;Email;jacopo.bellini@hotmail.com
374917;Email;osvaldo.cherubini@outlook.com
374922;Email;ermenegildo.cabrini@gmail.com
374927;Email;ugolino.fagiani@yahoo.com
374932;Email;hugo.boccioni@yahoo.com
374937;Email;serena.rossini@libero.it
374942;Email;silvestro.traversa@libero.it
374947;Email;pierpaolo.scarpetta@outlook.com
374952;Email;guarino.bosio@gmail.com
374957;Email;telemaco.gioberti@gmail.com
374962;Email;elvira.redi@outlook.it
374967;Email;fulvio.ariasso@hotmail.com
374972;Email;dario.gentili@yahoo.com
374977;Email;alessandro.pezzali@hotmail.it
374982;Email;melissa.marzorati@hotmail.com
374987;Email;marta.fittipaldi@gmail.com
374992;Email;loretta.scotto@yahoo.com
374997;Email;marcantonio.moccia@gmail.com
375002;Email;emilio.morpurgo@yahoo.com
375007;Email;bruno.dellucci@yahoo.com
375012;Email;guarino.sokolov@outlook.it
375017;Email;tina.bova@gmail.com
375022;Email;uberto.missoni@gmail.com
375027;Email;eliana.bevilacqua@hotmail.com
375032;Email;giulia.dellucci@outlook.it
375037;Email;amanda.luciani@yahoo.com
375042;Email;lolita.guariento@outlook.it
375047;Email;priscilla.nicolucci@outlook.com
375052;Email;augusto.maderno@hotmail.com
375057;Email;annibale.flaiano@yahoo.com
375062;Email;bettina.borgia@libero.it
375067;Email;giorgia.prodi@hotmail.it
375072;Email;lara.bertoli@outlook.it
375077;Email;giulia.redi@outlook.com
375082;Email;benvenuto.baracca@hotmail.com
375087;Email;ugolino.bazzi@outlook.it
375092;Email;mattia.monaco@hotmail.com
375097;Email;silvio.veltroni@hotmail.it
375102;Email;gianna.druso@yahoo.com
375107;Email;natalia.peano@hotmail.com
375112;Email;imelda.gramsci@libero.it
375117;Email;puccio.cafarchia@gmail.com
375122;Email;eleanora.bignardi@hotmail.it
375127;Email;vanessa.tanzini@libero.it
375132;Email;letizia.pignatti@gmail.com
375137;Email;benvenuto.filangieri@yahoo.com
375142;Email;costanzo.sabatini@yahoo.com
375147;Email;silvia.bernini@gmail.com
375152;Email;gioacchino.manolesso@hotmail.com
375157;Email;iolanda.dossetti@libero.it
375162;Email;susanna.raurica@gmail.com
375167;Email;telemaco.molesini@gmail.com
375172;Email;gianluigi.filippelli@outlook.com
375177;Email;maura.villarosa@gmail.com
375182;Email;enrico.bonanno@gmail.com
375187;Email;bianca.leonardi@hotmail.com
375192;Email;susanna.tarchetti@hotmail.it
375197;Email;amedeo.zacchia@gmail.com
375202;Email;guglielmo.rizzoli@hotmail.it
375207;Email;damiano.zichichi@libero.it
375212;Email;flavio.cutrufo@hotmail.com
375217;Email;piermaria.tarchetti@outlook.it
375222;Email;lina.gabbana@yahoo.com
375227;Email;toni.viviani@hotmail.com
375232;Email;corrado.tuzzolino@outlook.com
375237;Email;fabio.mancini@libero.it
375242;Email;alphons.gozzano@hotmail.com
375247;Email;ansaldo.stradivari@hotmail.it
375252;Email;letizia.anguissola@outlook.it
375257;Email;gaetano.ferrucci@outlook.com
375262;Email;gastone.scarpetta@libero.it
375267;Email;ninetta.camuccini@gmail.com
375272;Email;marissa.nordio@hotmail.it
375277;Email;salvi.volta@libero.it
375282;Email;fortunata.manolesso@gmail.com
375287;Email;goffredo.finotto@hotmail.it
375292;Email;gioachino.norbiato@libero.it
375297;Email;domenico.fantini@yahoo.com
375302;Email;riccardo.blasi@yahoo.com
375307;Email;achille.contarini@gmail.com
375312;Email;elena.comencini@libero.it
375317;Email;camillo.rastelli@outlook.com
375322;Email;melina.caracciolo@hotmail.com
375327;Email;arnulfo.fattori@libero.it
375332;Email;matilda.carriera@outlook.it
375337;Email;cecilia.parpinel@gmail.com
375342;Email;salvatore.pavanello@outlook.it
375347;Email;rosaria.chechi@yahoo.com
375352;Email;patrizio.govoni@outlook.it
375357;Email;alberto.marangoni@hotmail.it
375362;Email;gioachino.mengolo@libero.it
375367;Email;simone.salata@outlook.it
375372;Email;nanni.salandra@hotmail.com
375377;Email;dionigi.gotti@outlook.it
375382;Email;danilo.peranda@gmail.com
375387;Email;marcello.traversa@outlook.it
375392;Email;mario.toscani@hotmail.com
375397;Email;lucrezia.bettoni@outlook.it
375402;Email;livia.basso@yahoo.com
375407;Email;ilaria.saraceno@yahoo.com
375412;Email;angelica.jacuzzi@hotmail.it
375417;Email;dolores.navarria@gmail.com
375422;Email;orazio.gigli@gmail.com
375427;Email;gianmarco.garrone@yahoo.com
375432;Email;riccardo.fagotto@outlook.com
375437;Email;laura.faggiani@libero.it
375442;Email;cesare.nicolucci@hotmail.it
375447;Email;martino.gelli@outlook.com
375452;Email;lina.quasimodo@hotmail.com
375457;Email;aria.taliercio@hotmail.it
375462;Email;romolo.agazzi@outlook.com
375467;Email;geronimo.vergerio@hotmail.it
375472;Email;antonio.rinaldi@hotmail.com
375477;Email;saverio.tafuri@libero.it
375482;Email;benito.interminelli@hotmail.com
375487;Email;hugo.blasi@hotmail.it
375492;Email;angelo.falloppio@libero.it
375497;Email;pasqual.emo@libero.it
375502;Email;federica.bianchi@gmail.com
375507;Email;maurilio.filangieri@outlook.com
375512;Email;ludovica.pulci@outlook.it
375517;Email;gianmarco.borrani@hotmail.com
375522;Email;luca.brunello@gmail.com
375527;Email;puccio.bianchini@outlook.it
375532;Email;berenice.amato@gmail.com
375537;Email;zaira.vigorelli@gmail.com
375542;Email;caterina.pascarella@hotmail.com
375547;Email;giorgio.peruzzi@libero.it
375552;Email;federica.ferrata@hotmail.com
375557;Email;letizia.panatta@libero.it
375562;Email;ugo.gualandi@hotmail.com
375567;Email;sabatino.bruno@outlook.com
375572;Email;olga.scandone@libero.it
375577;Email;oreste.pincherle@outlook.it
375582;Email;patrizia.ginesio@libero.it
375587;Email;stefani.ottino@yahoo.com
375592;Email;ciro.norbiato@gmail.com
375597;Email;nino.armani@outlook.com
375602;Email;gianna.ortolani@libero.it
375607;Email;aldo.zacchia@outlook.it
375612;Email;rita.manunta@gmail.com
