:ID;:LABEL;first_name;last_name;full_name
374500;Customer;Ilaria;Taliercio;Ilaria Taliercio
374505;Customer;Olga;Andreotti;Olga Andreotti
374510;Customer;Oreste;Mortati;Oreste Mortati
374515;Customer;Ranieri;Venier;Ranieri Venier
374520;Customer;Corrado;Antonucci;Corrado Antonucci
374525;Customer;Cesare;Mortati;Cesare Mortati
374530;Customer;Lucrezia;Schiavo;Lucrezia Schiavo
374535;Customer;Elena;Parmitano;Elena Parmitano
374540;Customer;Rosario;Aldobrandi;Rosario Aldobrandi
374545;Customer;Tiziano;Vidoni;Tiziano Vidoni
374550;Customer;Claudio;Sordi;Claudio Sordi
374555;Customer;Achille;Interminei;Achille Interminei
374560;Customer;Marcello;Galvani;Marcello Galvani
374565;Customer;Fabrizia;Borzomì;Fabrizia Borzomì
374570;Customer;Gilberto;Toldo;Gilberto Toldo
374575;Customer;Atenulf;Rusticucci;Atenulf Rusticucci
374580;Customer;Adriano;Monte;Adriano Monte
374585;Customer;Michele;Bonino;Michele Bonino
374590;Customer;Nadia;Praga;Nadia Praga
374595;Customer;Rita;Polizzi;Rita Polizzi
374600;Customer;Salvi;Orsini;Salvi Orsini
374605;Customer;Livio;Rinaldi;Livio Rinaldi
374610;Customer;Panfilo;Comolli;Panfilo Comolli
374615;Customer;Ettore;Liverotti;Ettore Liverotti
374620;Customer;Benedetto;Aporti;Benedetto Aporti
374625;Customer;Tina;Montalti;Tina Montalti
374630;Customer;Giulia;Pagnotto;Giulia Pagnotto
374635;Customer;Jacopo;Pareto;Jacopo Pareto
374640;Customer;Leonardo;Morabito;Leonardo Morabito
374645;Customer;Eleanora;Cignaroli;Eleanora Cignaroli
374650;Customer;Luisa;Ferragamo;Luisa Ferragamo
374655;Customer;Viridiana;Casellati;Viridiana Casellati
374660;Customer;Ansaldo;Polani;Ansaldo Polani
374665;Customer;Jolanda;Cerquiglini;Jolanda Cerquiglini
374670;Customer;Giada;Bocelli;Giada Bocelli
374675;Customer;Pierpaolo;Liverotti;Pierpaolo Liverotti
374680;Customer;Azeglio;Agostini;Azeglio Agostini
374685;Customer;Aurora;Silvestri;Aurora Silvestri
374690;Customer;Lodovico;Prada;Lodovico Prada
374695;Customer;Severino;Murri;Severino Murri
374700;Customer;Gianfrancesco;Conti;Gianfrancesco Conti
374705;Customer;Loretta;Scotti;Loretta Scotti
374710;Customer;Nicoletta;Trincavelli;Nicoletta Trincavelli
374715;Customer;Michelangelo;Nordio;Michelangelo Nordio
374720;Customer;Claudio;Zetticci;Claudio Zetticci
374725;Customer;Orlando;Ioppi;Orlando Ioppi
374730;Customer;Ansaldo;Sraffa;Ansaldo Sraffa
374735;Customer;Gioachino;Zeffirelli;Gioachino Zeffirelli
374740;Customer;Tonia;Tognazzi;Tonia Tognazzi
374745;Customer;Alberto;Piane;Alberto Piane
374750;Customer;Ermenegildo;Agnesi;Ermenegildo Agnesi
374755;Customer;Claudio;Vittadello;Claudio Vittadello
374760;Customer;Gianpaolo;Almagià;Gianpaolo Almagià
374765;Customer;Amleto;Monduzzi;Amleto Monduzzi
374770;Customer;Adelasia;Viola;Adelasia Viola
374775;Customer;Elvira;Lombroso;Elvira Lombroso
374780;Customer;Mariana;Foletti;Mariana Foletti
374785;Customer;Pasqual;Ferrabosco;Pasqual Ferrabosco
374790;Customer;Serena;Semitecolo;Serena Semitecolo
374795;Customer;Ottone;Bembo;Ottone Bembo
374800;Customer;Osvaldo;Ubaldi;Osvaldo Ubaldi
374805;Customer;Amleto;Farina;Amleto Farina
374810;Customer;Marcella;Tiepolo;Marcella Tiepolo
374815;Customer;Benvenuto;Mengolo;Benvenuto Mengolo
374820;Customer;Antonietta;Pucci;Antonietta Pucci
374825;Customer;Raffaellino;Sibilia;Raffaellino Sibilia
374830;Customer;Hugo;Zoppetti;Hugo Zoppetti
374835;Customer;Bartolomeo;Gaggini;Bartolomeo Gaggini
374840;Customer;Livio;Manolesso;Livio Manolesso
374845;Customer;Camilla;Trobbiani;Camilla Trobbiani
374850;Customer;Alfio;Gaiatto;Alfio Gaiatto
374855;Customer;Vanessa;Sanguineti;Vanessa Sanguineti
374860;Customer;Pasquale;Lucciano;Pasquale Lucciano
374865;Customer;Giulietta;Bataglia;Giulietta Bataglia
374870;Customer;Olga;Bacosi;Olga Bacosi
374875;Customer;Leone;Buscetta;Leone Buscetta
374880;Customer;Bianca;Delle;Bianca Delle
374885;Customer;Gioffre;Visintini;Gioffre Visintini
374890;Customer;Francesco;Missoni;Francesco Missoni
374895;Customer;Giustino;Contarini;Giustino Contarini
374900;Customer;Roman;Verri;Roman Verri
