:ID;:LABEL;country;city;street;zip_code
1;Address;Italy;Enna;Incrocio Dina, 3;20023
6;Address;Italy;Arezzo;Incrocio Lombardo, 452 Appartamento 9;31048
11;Address;Italy;Verbano-Cusio-Ossola;Canale Adele, 674 Piano 8;65012
16;Address;Italy;Foggia;Contrada Ermenegildo, 780;21022
21;Address;Italy;Rimini;Incrocio Ruggero, 65;38086
26;Address;Italy;Bologna;Borgo Torquato, 6 Appartamento 0;50144
31;Address;Italy;Ogliastra;Stretto Ezio, 81 Piano 5;11028
36;Address;Italy;Messina;Borgo Franco, 3;00163
41;Address;Italy;Matera;Viale Nadia, 4;07025
46;Address;Italy;Crotone;Rotonda Gianmarco, 48;83029
51;Address;Italy;Brescia;Viale Collina, 23 Piano 5;34010
56;Address;Italy;Vercelli;Incrocio Omma, 1 Appartamento 98;20070
61;Address;Italy;Trieste;Strada Silvestro, 768 Piano 4;41028
66;Address;Italy;Perugia;Borgo Taliercio, 939;81049
71;Address;Italy;Fermo;Incrocio Einaudi, 33;15100
76;Address;Italy;Pavia;Stretto Gino, 31 Piano 6;36075
81;Address;Italy;Trento;Borgo Calcedonio, 14;37012
86;Address;Italy;Rieti;Borgo Antonia, 9;60030
91;Address;Italy;Genova;Viale Geronimo, 66;70026
96;Address;Italy;Siena;Rotonda Ilaria, 139;90048
101;Address;Italy;Perugia;Piazza Irma, 51;06127
106;Address;Italy;Genova;Vicolo Bernetti, 75 Appartamento 11;10146
111;Address;Italy;Salerno;Incrocio Scialpi, 429 Appartamento 3;26845
116;Address;Italy;Venezia;Piazza Niccolò, 63 Piano 3;11018
121;Address;Italy;Pesaro e Urbino;Strada Gioele, 69;19126
126;Address;Italy;Pescara;Vicolo Nanni, 50 Appartamento 4;98137
131;Address;Italy;Viterbo;Contrada Impastato, 59 Appartamento 24;90024
136;Address;Italy;Macerata;Stretto Berenice, 72 Appartamento 9;81017
141;Address;Italy;Frosinone;Strada Angelica, 67 Piano 1;90016
146;Address;Italy;Trapani;Stretto Rismondo, 6;08040
151;Address;Italy;Ravenna;Viale Pietro, 5;38052
156;Address;Italy;Modena;Borgo Brambilla, 0;46039
161;Address;Italy;Prato;Rotonda Pontecorvo, 0;41055
166;Address;Italy;Brescia;Piazza Gualandi, 7;59015
171;Address;Italy;Bari;Vicolo Paolo, 20;71029
176;Address;Italy;Vibo Valentia;Borgo Giradello, 88;28861
181;Address;Italy;Pesaro e Urbino;Via Mantegna, 627;67053
