last_name;code;:LABEL;first_name;:ID
Niscoromni;35723612675;Evaluator;Jacopo;878
Lamborghini;184787877400;Evaluator;Pietro;881
Gatto;79482121240;Evaluator;Cesare;884
Iannuzzi;874234200088;Evaluator;Paride;887
Galvani;767051654683;Evaluator;Armando;890
Borsiere;328988457001;Evaluator;Lazzaro;893
Curci;436755546667;Evaluator;Enzio;896
Maderno;384204971059;Evaluator;Coluccio;899
Farina;552229419062;Evaluator;Germana;902
Muratori;281559191097;Evaluator;Paolo;905
Pagliaro;194364470844;Evaluator;Calcedonio;908
Brichese;145719636551;Evaluator;Chiara;911
Fantozzi;230046527561;Evaluator;Luca;914
Cociarelli;844637414477;Evaluator;Sandro;917
Rizzo;165038498900;Evaluator;Aurora;920
Curatoli;282068748375;Evaluator;Alderano;923
Musatti;890817698905;Evaluator;Ilaria;926
Castiglione;737810456672;Evaluator;Livia;929
Squarcione;739091029612;Evaluator;Silvia;932
Serraglio;573812814454;Evaluator;Fortunata;935
Toselli;756377659521;Evaluator;Bianca;938
Bonino;786926763141;Evaluator;Vincenza;941
Cremonesi;170346736777;Evaluator;Raffaele;944
Iannelli;955338892431;Evaluator;Piero;947
Boitani;66279108241;Evaluator;Ermenegildo;950
Pininfarina;820714213527;Evaluator;Matilda;953
Antonacci;535590819993;Evaluator;Elladio;956
Mondaini;840091778721;Evaluator;Lodovico;959
Calbo;838201366689;Evaluator;Mirco;962
Mastroianni;780404790442;Evaluator;Bianca;965
Mantegna;79547967660;Evaluator;Orlando;968
Venier;926127268537;Evaluator;Letizia;971
Pascarella;503094042298;Evaluator;Salvatore;974
Oscuro;645082041028;Evaluator;Nina;977
Celentano;378558308040;Evaluator;Nicola;980
Gussoni;827784378572;Evaluator;Paride;983
Salvemini;641593177811;Evaluator;Sante;986
Sabbatini;217016533209;Evaluator;Ruggiero;989
Pugliese;632932330205;Evaluator;Antonino;992
Mascagni;414046108903;Evaluator;Umberto;995
Rensi;731651318504;Evaluator;Nico;998
Surian;124026672361;Evaluator;Fabio;1001
Bragadin;985401735404;Evaluator;Fausto;1004
Piccio;840607633145;Evaluator;Paride;1007
Pedroni;103639813896;Evaluator;Ermenegildo;1010
Cherubini;927615883022;Evaluator;Marta;1013
Littizzetto;48068777747;Evaluator;Gianluca;1016
Capone;571611325724;Evaluator;Piero;1019
Gori;771392888101;Evaluator;Cecilia;1022
Almagià;279303734058;Evaluator;Marcella;1025
Campise;326153419567;Evaluator;Tiziana;1028
Lercari;279248769843;Evaluator;Giampaolo;1031
Ubaldi;733622605636;Evaluator;Lauretta;1034
Cainero;607209441098;Evaluator;Federico;1037
Campise;106083175246;Evaluator;Stefania;1040
Morlacchi;957720757586;Evaluator;Rodolfo;1043
Borrani;870559241043;Evaluator;Rosa;1046
Moschino;508664663896;Evaluator;Daria;1049
Pacomio;430640061275;Evaluator;Antonina;1052
Serao;255613515109;Evaluator;Carla;1055
Giacometti;862750005095;Evaluator;Patrizia;1058
Pedersoli;266468089195;Evaluator;Costantino;1061
Ferragni;481147720049;Evaluator;Puccio;1064
Carriera;833534399869;Evaluator;Bruno;1067
Garobbio;465293063041;Evaluator;Gioele;1070
Sagese;438607769493;Evaluator;Simone;1073
Fo;892838313381;Evaluator;Susanna;1076
Foa;848346702246;Evaluator;Ignazio;1079
Romagnoli;621425186731;Evaluator;Francesca;1082
Polani;284464026037;Evaluator;Federica;1085
Dallara;917550772159;Evaluator;Fernanda;1088
Ferragni;88262512063;Evaluator;Ermenegildo;1091
Galeati;706767173571;Evaluator;Nicola;1094
Dulbecco;711949283792;Evaluator;Marcella;1096
Visintini;13300018141;Evaluator;Giampiero;1098
Toscani;276149187549;Evaluator;Dante;1100
Piane;611541999083;Evaluator;Fernanda;1102
Pareto;738062774766;Evaluator;Carla;1104
Versace;737080812018;Evaluator;Raffaella;1106
Saffi;257787057650;Evaluator;Aldo;1108
Marino;550674266103;Evaluator;Antonino;1110
